t,m,j,u,Price
2019-20,Mainland Other Urban,Nuts,kg,
2019-20,Mainland Other Urban,Other Cereal Products,kg,2745.418167
2019-20,Mainland Other Urban,Other Fruits,kg,1718.924727
2019-20,Mainland Other Urban,Other Fruits,piece,300
2019-20,Mainland Other Urban,Other Spices,kg,4161.208073
2019-20,Mainland Other Urban,Plantains,kg,1065.174665
2019-20,Mainland Other Urban,Pork,kg,6820.512821
2019-20,Mainland Other Urban,Pulses,kg,1946.756854
2019-20,Mainland Other Urban,Rice (husked),kg,1787.128427
2019-20,Mainland Other Urban,Ripe Bananas,kg,1735.174925
2019-20,Mainland Other Urban,Ripe Bananas,piece,100
2019-20,Mainland Other Urban,Salt,kg,1119.112363
2019-20,Mainland Other Urban,Seeds,kg,1600
2019-20,Mainland Other Urban,Soft drinks,kg,1690.085288
2019-20,Mainland Other Urban,Sugar,kg,2564.147036
2019-20,Mainland Other Urban,Sugarcane,kg,677.8679654
2019-20,Mainland Other Urban,Sweet Potatoes,kg,5668.800309
2019-20,Mainland Other Urban,Sweets,kg,15147.1917
2019-20,Mainland Other Urban,Sweets,piece,83.33333333
2019-20,Mainland Other Urban,Tea (dry),kg,13169.422
2019-20,Mainland Other Urban,Vegetables (fresh),kg,1832.699202
2019-20,Mainland Other Urban,Vegetables (preserved),kg,1486.309524
2019-20,Mainland Other Urban,Wheat Flour,kg,1472.222222
2019-20,Mainland Other Urban,Wine & Spirits,kg,14666.66667
2019-20,Mainland Other Urban,Yams/Cocoyams,kg,18702.13675
2019-20,Mainland Rural,Beef,kg,5630.612245
2019-20,Mainland Rural,Bottled Beer,kg,4095.238095
2019-20,Mainland Rural,Bread,kg,2051.67219
2019-20,Mainland Rural,"Buns, Cakes And Biscuits",kg,2481.803693
2019-20,Mainland Rural,"Butter, Etc.",kg,6000
2019-20,Mainland Rural,Cassava Dry/Flour,kg,768.0498534
2019-20,Mainland Rural,Cassava Fresh,kg,702.7395074
2019-20,Mainland Rural,Chicken,kg,7566.464785
2019-20,Mainland Rural,Chicken,piece,7050
2019-20,Mainland Rural,Citrus Fruits,kg,1742.480205
2019-20,Mainland Rural,Coconuts,kg,1381.141226
2019-20,Mainland Rural,Coconuts,piece,500
2019-20,Mainland Rural,Coffee & Cocoa,kg,24488.09524
2019-20,Mainland Rural,Cooking Oil,kg,3596.039163
2019-20,Mainland Rural,Dairy Products,kg,1306.190476
2019-20,Mainland Rural,Eggs,kg,
2019-20,Mainland Rural,Eggs,piece,369.6078431
2019-20,Mainland Rural,Fish (dried),kg,5714.260283
2019-20,Mainland Rural,Fish (fresh),kg,3507.331381
2019-20,Mainland Rural,Goat Meat,kg,5600.694444
2019-20,Mainland Rural,Groundnuts,kg,2276.589424
2019-20,Mainland Rural,"Honey, Syrups, etc.",kg,6325.47619
2019-20,Mainland Rural,Irish Potatoes,kg,1205.182496
2019-20,Mainland Rural,Leafy Greens,kg,1231.114443
2019-20,Mainland Rural,Local Brews,kg,734.1397849
2019-20,Mainland Rural,"Macaroni, Spaghetti",kg,2910.997732
2019-20,Mainland Rural,Maize (flour),kg,1151.637401
2019-20,Mainland Rural,Maize (grain),kg,1130.909091
2019-20,Mainland Rural,"Maize (green, cob)",kg,1419.642857
2019-20,Mainland Rural,Materials For Drinks,kg,5000
2019-20,Mainland Rural,Milk (dry or canned),kg,27500
2019-20,Mainland Rural,Milk (fresh),kg,1113.978495
2019-20,Mainland Rural,Millet & Sorghum (flour),kg,1587.229437
2019-20,Mainland Rural,Millet & Sorghum (grain),kg,
2019-20,Mainland Rural,Nuts,kg,11000
2019-20,Mainland Rural,Other Cereal Products,kg,1880.606061
2019-20,Mainland Rural,Other Cereals,kg,512.8205128
2019-20,Mainland Rural,Other Fruits,kg,1332.786068
2019-20,Mainland Rural,Other Meat,kg,3000
2019-20,Mainland Rural,Other Spices,kg,6519.556642
2019-20,Mainland Rural,Other Starches,kg,2103.91363
2019-20,Mainland Rural,Plantains,kg,769.1895832
2019-20,Mainland Rural,Pork,kg,5968.75
2019-20,Mainland Rural,Pulses,kg,1936.821954
2019-20,Mainland Rural,Rice (husked),kg,1817.749248
2019-20,Mainland Rural,Rice (paddy),kg,
2019-20,Mainland Rural,Ripe Bananas,kg,1306.732829
2019-20,Mainland Rural,Salt,kg,1078.900622
2019-20,Mainland Rural,Seeds,kg,
2019-20,Mainland Rural,Soft drinks,kg,1568.404505
2019-20,Mainland Rural,Sugar,kg,2761.130245
2019-20,Mainland Rural,Sugarcane,kg,418.3491675
2019-20,Mainland Rural,Sweet Potatoes,kg,712.8637846
2019-20,Mainland Rural,Sweets,kg,14152.52976
2019-20,Mainland Rural,Sweets,piece,86.81818182
2019-20,Mainland Rural,Tea (dry),kg,12946.85692
2019-20,Mainland Rural,Vegetables (fresh),kg,2152.502965
2019-20,Mainland Rural,Vegetables (preserved),kg,1000
2019-20,Mainland Rural,Wheat Flour,kg,1386.122449
2019-20,Mainland Rural,Wild Birds & Insects,kg,
2019-20,Mainland Rural,Yams/Cocoyams,kg,851.6971161
2019-20,Zanzibar,Beef,kg,9090.909091
2019-20,Zanzibar,Bread,kg,2590.391156
2019-20,Zanzibar,"Buns, Cakes And Biscuits",kg,4075
2019-20,Zanzibar,"Butter, Etc.",kg,5100
2019-20,Zanzibar,Cassava Dry/Flour,kg,1500
2019-20,Zanzibar,Cassava Fresh,kg,1268.796992
2019-20,Zanzibar,Chicken,kg,9250
2019-20,Zanzibar,Chicken,piece,5916.666667
2019-20,Zanzibar,Citrus Fruits,kg,2363.636364
2019-20,Zanzibar,Coconuts,kg,1445.505148
2019-20,Zanzibar,Cooking Oil,kg,3417.333333
2019-20,Zanzibar,Dairy Products,kg,
2019-20,Zanzibar,Eggs,kg,
2019-20,Zanzibar,Eggs,piece,395.5555556
2019-20,Zanzibar,Fish (dried),kg,7000
2019-20,Zanzibar,Fish (fresh),kg,3785.790598
2019-20,Zanzibar,Groundnuts,kg,
2019-20,Zanzibar,"Honey, Syrups, etc.",kg,1833.333333
2019-20,Zanzibar,Irish Potatoes,kg,1230.084746
2019-20,Zanzibar,Leafy Greens,kg,1700
2019-20,Zanzibar,"Macaroni, Spaghetti",kg,2238.461538
2019-20,Zanzibar,Maize (flour),kg,1339.189189
2019-20,Zanzibar,"Maize (green, cob)",kg,
2019-20,Zanzibar,Milk (dry or canned),kg,11666.66667
2019-20,Zanzibar,Milk (fresh),kg,2495.555556
2019-20,Zanzibar,Millet & Sorghum (flour),kg,1537.5
2019-20,Zanzibar,Other Cereal Products,kg,3000
2019-20,Zanzibar,Other Fruits,kg,1654.166667
2019-20,Zanzibar,Other Spices,kg,36500
2019-20,Zanzibar,Other Starches,kg,
2019-20,Zanzibar,Plantains,kg,1916.666667
2019-20,Zanzibar,"Prepared Tea, Coffee",kg,
2019-20,Zanzibar,Pulses,kg,2459.126984
2019-20,Zanzibar,Rice (husked),kg,2004.727742
2019-20,Zanzibar,Rice (paddy),kg,2000
2019-20,Zanzibar,Ripe Bananas,kg,2833.333333
2019-20,Zanzibar,Salt,kg,965.6666667
2019-20,Zanzibar,Soft drinks,kg,1323.333333
2019-20,Zanzibar,Sugar,kg,2238.288288
2019-20,Zanzibar,Sugarcane,kg,
2019-20,Zanzibar,Sweet Potatoes,kg,916.6666667
2019-20,Zanzibar,Sweets,kg,14462.12121
2019-20,Zanzibar,Sweets,piece,100
2019-20,Zanzibar,Tea (dry),kg,12063.00813
2019-20,Zanzibar,Vegetables (fresh),kg,1844.936709
2019-20,Zanzibar,Vegetables (preserved),kg,
2019-20,Zanzibar,Wheat Flour,kg,1442.759563
2019-20,Zanzibar,Yams/Cocoyams,kg,1683.333333
