t,m,j,u,Price
2020-21,Dar Es Salaam,Beef,kg,7526.388889
2020-21,Dar Es Salaam,Bottled Beer,piece,1500
2020-21,Dar Es Salaam,Bread,kg,2971.958787
2020-21,Dar Es Salaam,Bread,piece,960
2020-21,Dar Es Salaam,"Buns, Cakes And Biscuits",kg,2479.066073
2020-21,Dar Es Salaam,"Buns, Cakes And Biscuits",piece,146.1538462
2020-21,Dar Es Salaam,Cassava Dry/Flour,kg,1000
2020-21,Dar Es Salaam,Cassava Fresh,kg,974.4434038
2020-21,Dar Es Salaam,Cassava Fresh,piece,198.1481481
2020-21,Dar Es Salaam,Chicken,kg,8262.755102
2020-21,Dar Es Salaam,Chicken,piece,12750
2020-21,Dar Es Salaam,Citrus Fruits,kg,1672.191367
2020-21,Dar Es Salaam,Citrus Fruits,piece,122.3684211
2020-21,Dar Es Salaam,Coconuts,kg,1553.931005
2020-21,Dar Es Salaam,Coconuts,piece,670
2020-21,Dar Es Salaam,Coffee & Cocoa,kg,39043.33333
2020-21,Dar Es Salaam,Cooking Oil,kg,4721.602787
2020-21,Dar Es Salaam,Dairy Products,kg,2280
2020-21,Dar Es Salaam,Eggs,kg,
2020-21,Dar Es Salaam,Eggs,piece,322.7272727
2020-21,Dar Es Salaam,Fish (dried),kg,8106.002185
2020-21,Dar Es Salaam,Fish (dried),piece,2000
2020-21,Dar Es Salaam,Fish (fresh),kg,8108.85006
2020-21,Dar Es Salaam,Fish (fresh),piece,1041.666667
2020-21,Dar Es Salaam,Goat Meat,kg,9166.666667
2020-21,Dar Es Salaam,Groundnuts,kg,3600
2020-21,Dar Es Salaam,"Honey, Syrups, etc.",kg,6740
2020-21,Dar Es Salaam,Irish Potatoes,kg,1165.527051
2020-21,Dar Es Salaam,Irish Potatoes,piece,66.66666667
2020-21,Dar Es Salaam,Leafy Greens,kg,1530.007684
2020-21,Dar Es Salaam,Leafy Greens,piece,392.8571429
2020-21,Dar Es Salaam,"Macaroni, Spaghetti",kg,2447.619048
2020-21,Dar Es Salaam,Maize (flour),kg,1119.716312
2020-21,Dar Es Salaam,Maize (grain),kg,1200
2020-21,Dar Es Salaam,"Maize (green, cob)",kg,666.6666667
2020-21,Dar Es Salaam,Milk (dry or canned),kg,33750
2020-21,Dar Es Salaam,Milk (fresh),kg,2328.571429
2020-21,Dar Es Salaam,Millet & Sorghum (flour),kg,3666.666667
2020-21,Dar Es Salaam,Millet & Sorghum (grain),kg,4200
2020-21,Dar Es Salaam,Nuts,kg,40000
2020-21,Dar Es Salaam,Other Cereal Products,kg,1086.601307
2020-21,Dar Es Salaam,Other Fruits,kg,1489.467977
2020-21,Dar Es Salaam,Other Fruits,piece,583.3333333
2020-21,Dar Es Salaam,Other Spices,kg,12851.81485
2020-21,Dar Es Salaam,Plantains,kg,1184.428864
2020-21,Dar Es Salaam,Plantains,piece,172.2222222
2020-21,Dar Es Salaam,Pork,kg,6500
2020-21,Dar Es Salaam,Pulses,kg,2725.50813
2020-21,Dar Es Salaam,Rice (husked),kg,1549.179842
2020-21,Dar Es Salaam,Ripe Bananas,kg,1335.325875
2020-21,Dar Es Salaam,Ripe Bananas,piece,168.75
2020-21,Dar Es Salaam,Salt,kg,1243.996386
2020-21,Dar Es Salaam,Soft drinks,kg,1413.419913
2020-21,Dar Es Salaam,Soft drinks,piece,458.3333333
2020-21,Dar Es Salaam,Sugar,kg,2836.515152
2020-21,Dar Es Salaam,Sugarcane,kg,583.3333333
2020-21,Dar Es Salaam,Sweet Potatoes,kg,841.8020436
2020-21,Dar Es Salaam,Sweet Potatoes,piece,150
2020-21,Dar Es Salaam,Sweets,kg,9253.08642
2020-21,Dar Es Salaam,Sweets,piece,50
2020-21,Dar Es Salaam,Tea (dry),kg,16599.0991
2020-21,Dar Es Salaam,Tea (dry),piece,100
2020-21,Dar Es Salaam,Vegetables (fresh),kg,1557.183904
2020-21,Dar Es Salaam,Vegetables (fresh),piece,121.692076
2020-21,Dar Es Salaam,Wheat Flour,kg,1347.857143
2020-21,Dar Es Salaam,Yams/Cocoyams,kg,1196.581197
2020-21,Mainland Other Urban,Beef,kg,6785.185185
2020-21,Mainland Other Urban,Bottled Beer,kg,4285.714286
2020-21,Mainland Other Urban,Bottled Beer,piece,1500
2020-21,Mainland Other Urban,Bread,kg,2435.407982
2020-21,Mainland Other Urban,Bread,piece,1000
2020-21,Mainland Other Urban,"Buns, Cakes And Biscuits",kg,2671.570399
2020-21,Mainland Other Urban,"Buns, Cakes And Biscuits",piece,135.7142857
2020-21,Mainland Other Urban,"Butter, Etc.",kg,8750
2020-21,Mainland Other Urban,Cassava Dry/Flour,kg,770
2020-21,Mainland Other Urban,Cassava Fresh,kg,826.2448694
2020-21,Mainland Other Urban,Chicken,kg,10240
2020-21,Mainland Other Urban,Chicken,piece,8000
2020-21,Mainland Other Urban,Citrus Fruits,kg,1193.091267
2020-21,Mainland Other Urban,Citrus Fruits,piece,152.6785714
2020-21,Mainland Other Urban,Coconuts,kg,1623.831637
2020-21,Mainland Other Urban,Coconuts,piece,741.5384615
2020-21,Mainland Other Urban,Coffee & Cocoa,kg,51129.03226
2020-21,Mainland Other Urban,Cooking Oil,kg,5056.437084
2020-21,Mainland Other Urban,Dairy Products,kg,1552.631579
2020-21,Mainland Other Urban,Eggs,kg,
2020-21,Mainland Other Urban,Eggs,piece,400
2020-21,Mainland Other Urban,Fish (dried),kg,6184.756106
2020-21,Mainland Other Urban,Fish (dried),piece,3000
2020-21,Mainland Other Urban,Fish (fresh),kg,6191.086696
2020-21,Mainland Other Urban,Goat Meat,kg,8271.428571
2020-21,Mainland Other Urban,Groundnuts,kg,4008.68216
2020-21,Mainland Other Urban,"Honey, Syrups, etc.",kg,5602.040816
2020-21,Mainland Other Urban,Irish Potatoes,kg,1109.642512
2020-21,Mainland Other Urban,Leafy Greens,kg,1176.859759
2020-21,Mainland Other Urban,Leafy Greens,piece,308.3333333
2020-21,Mainland Other Urban,Local Brews,kg,809.5238095
2020-21,Mainland Other Urban,"Macaroni, Spaghetti",kg,3262.654321
2020-21,Mainland Other Urban,Maize (flour),kg,1032.514881
2020-21,Mainland Other Urban,Maize (grain),kg,1165.9375
2020-21,Mainland Other Urban,"Maize (green, cob)",kg,2437.068554
2020-21,Mainland Other Urban,"Maize (green, cob)",piece,250
2020-21,Mainland Other Urban,Materials For Drinks,kg,
2020-21,Mainland Other Urban,Milk (dry or canned),kg,30000
2020-21,Mainland Other Urban,Milk (fresh),kg,1461.979167
2020-21,Mainland Other Urban,Millet & Sorghum (flour),kg,2136.363636
2020-21,Mainland Other Urban,Nuts,kg,26000
2020-21,Mainland Other Urban,Other Fruits,kg,1466.201185
2020-21,Mainland Other Urban,Other Fruits,piece,708.4249084
2020-21,Mainland Other Urban,Other Spices,kg,6576.904253
2020-21,Mainland Other Urban,Plantains,kg,1317.069679
2020-21,Mainland Other Urban,Plantains,piece,146.9047619
2020-21,Mainland Other Urban,Pork,kg,6285.714286
2020-21,Mainland Other Urban,"Prepared Tea, Coffee",kg,
2020-21,Mainland Other Urban,Pulses,kg,2139.362439
2020-21,Mainland Other Urban,Rice (husked),kg,1475.215686
2020-21,Mainland Other Urban,Ripe Bananas,kg,1036.028947
2020-21,Mainland Other Urban,Ripe Bananas,piece,96.66666667
2020-21,Mainland Other Urban,Salt,kg,1662.318956
2020-21,Mainland Other Urban,Seeds,piece,500
2020-21,Mainland Other Urban,Soft drinks,kg,1528.399634
2020-21,Mainland Other Urban,Soft drinks,piece,525
2020-21,Mainland Other Urban,Sugar,kg,2909.991564
2020-21,Mainland Other Urban,Sugarcane,kg,538.1361437
2020-21,Mainland Other Urban,Sweet Potatoes,kg,929.8982557
2020-21,Mainland Other Urban,Sweet Potatoes,piece,50
2020-21,Mainland Other Urban,Sweets,kg,8514.743586
2020-21,Mainland Other Urban,Sweets,piece,84.28571429
2020-21,Mainland Other Urban,Tea (dry),kg,18705.99418
2020-21,Mainland Other Urban,Vegetables (fresh),kg,1508.595396
2020-21,Mainland Other Urban,Vegetables (fresh),piece,116.4102564
2020-21,Mainland Other Urban,Vegetables (preserved),kg,
2020-21,Mainland Other Urban,Wheat Flour,kg,1517.857143
2020-21,Mainland Other Urban,Wine & Spirits,kg,7666.666667
2020-21,Mainland Other Urban,Wine & Spirits,piece,875
2020-21,Mainland Other Urban,Yams/Cocoyams,kg,997.5160256
2020-21,Mainland Rural,Beef,kg,6294.871795
2020-21,Mainland Rural,Bottled Beer,kg,3825.757576
2020-21,Mainland Rural,Bread,kg,2260.791548
2020-21,Mainland Rural,Bread,piece,1250
2020-21,Mainland Rural,"Buns, Cakes And Biscuits",kg,3229.608336
2020-21,Mainland Rural,"Buns, Cakes And Biscuits",piece,114.2857143
2020-21,Mainland Rural,"Butter, Etc.",kg,4000
2020-21,Mainland Rural,Cassava Dry/Flour,kg,697.5
2020-21,Mainland Rural,Cassava Fresh,kg,600.8675399
2020-21,Mainland Rural,Chicken,kg,4333.333333
2020-21,Mainland Rural,Citrus Fruits,kg,1084.164209
2020-21,Mainland Rural,Citrus Fruits,piece,100
2020-21,Mainland Rural,Coconuts,kg,975.9784829
2020-21,Mainland Rural,Coconuts,piece,583.3333333
2020-21,Mainland Rural,Coffee & Cocoa,kg,2000
2020-21,Mainland Rural,Cooking Oil,kg,5021.803696
2020-21,Mainland Rural,Dairy Products,kg,1266.666667
2020-21,Mainland Rural,Eggs,kg,
2020-21,Mainland Rural,Eggs,piece,300
2020-21,Mainland Rural,Fish (dried),kg,5958.51113
2020-21,Mainland Rural,Fish (dried),piece,500
2020-21,Mainland Rural,Fish (fresh),kg,5277.645826
2020-21,Mainland Rural,Goat Meat,kg,5693.421053
2020-21,Mainland Rural,Groundnuts,kg,4632.485614
2020-21,Mainland Rural,"Honey, Syrups, etc.",kg,7919.57672
2020-21,Mainland Rural,Irish Potatoes,kg,917.0899799
2020-21,Mainland Rural,Leafy Greens,kg,1031.302959
2020-21,Mainland Rural,Leafy Greens,piece,500
2020-21,Mainland Rural,Local Brews,kg,816.6666667
2020-21,Mainland Rural,"Macaroni, Spaghetti",kg,2916.666667
2020-21,Mainland Rural,Maize (flour),kg,2320.394089
2020-21,Mainland Rural,Maize (grain),kg,761.1111111
2020-21,Mainland Rural,"Maize (green, cob)",kg,699.0740741
2020-21,Mainland Rural,Milk (dry or canned),kg,16000
2020-21,Mainland Rural,Milk (fresh),kg,1049.801587
2020-21,Mainland Rural,Millet & Sorghum (flour),kg,2233.333333
2020-21,Mainland Rural,Millet & Sorghum (grain),kg,1000
2020-21,Mainland Rural,Nuts,kg,892.8571429
2020-21,Mainland Rural,Other Cereal Products,kg,
2020-21,Mainland Rural,Other Fruits,kg,800.9797746
2020-21,Mainland Rural,Other Fruits,piece,325.3448276
2020-21,Mainland Rural,Other Spices,kg,2531.64557
2020-21,Mainland Rural,Other Starches,kg,
2020-21,Mainland Rural,Plantains,kg,678.5403709
2020-21,Mainland Rural,Pork,kg,5400
