t,m,j,u,Price
2020-21,Mainland Rural,"Prepared Tea, Coffee",piece,100
2020-21,Mainland Rural,Pulses,kg,1886.85369
2020-21,Mainland Rural,Rice (husked),kg,1399.637704
2020-21,Mainland Rural,Rice (paddy),kg,
2020-21,Mainland Rural,Ripe Bananas,kg,1227.954212
2020-21,Mainland Rural,Salt,kg,1294.930518
2020-21,Mainland Rural,Soft drinks,kg,1543.859649
2020-21,Mainland Rural,Soft drinks,piece,600
2020-21,Mainland Rural,Sugar,kg,3162.613072
2020-21,Mainland Rural,Sugarcane,kg,670.516481
2020-21,Mainland Rural,Sugarcane,piece,375
2020-21,Mainland Rural,Sweet Potatoes,kg,597.0053295
2020-21,Mainland Rural,Sweets,kg,13225.25507
2020-21,Mainland Rural,Sweets,piece,79.86111111
2020-21,Mainland Rural,Tea (dry),kg,13715.1407
2020-21,Mainland Rural,Vegetables (fresh),kg,1412.42222
2020-21,Mainland Rural,Vegetables (fresh),piece,80.26785714
2020-21,Mainland Rural,Vegetables (preserved),kg,1555.555556
2020-21,Mainland Rural,Wheat Flour,kg,1466.666667
2020-21,Mainland Rural,Wild Birds & Insects,kg,1000
2020-21,Mainland Rural,Yams/Cocoyams,kg,1011.806263
2020-21,Zanzibar,Beef,kg,10200
2020-21,Zanzibar,Bread,kg,3289.193779
2020-21,Zanzibar,"Buns, Cakes And Biscuits",kg,2177.358491
2020-21,Zanzibar,"Butter, Etc.",kg,4000
2020-21,Zanzibar,Cassava Fresh,kg,1500
2020-21,Zanzibar,Chicken,kg,9500
2020-21,Zanzibar,Citrus Fruits,kg,1810.606061
2020-21,Zanzibar,Citrus Fruits,piece,83.33333333
2020-21,Zanzibar,Coconuts,kg,1418.492581
2020-21,Zanzibar,Cooking Oil,kg,4303.132832
2020-21,Zanzibar,Dairy Products,kg,
2020-21,Zanzibar,Eggs,kg,
2020-21,Zanzibar,Eggs,piece,338.8888889
2020-21,Zanzibar,Fish (dried),kg,8200
2020-21,Zanzibar,Fish (fresh),kg,5229.761905
2020-21,Zanzibar,Groundnuts,kg,119047.619
2020-21,Zanzibar,"Honey, Syrups, etc.",kg,
2020-21,Zanzibar,Irish Potatoes,kg,1112.820513
2020-21,Zanzibar,Leafy Greens,kg,1218.328373
2020-21,Zanzibar,"Macaroni, Spaghetti",kg,2466.666667
2020-21,Zanzibar,Maize (flour),kg,1491.666667
2020-21,Zanzibar,Milk (dry or canned),kg,30000
2020-21,Zanzibar,Milk (fresh),kg,2583.333333
2020-21,Zanzibar,Millet & Sorghum (flour),kg,1100
2020-21,Zanzibar,Millet & Sorghum (grain),kg,1600
2020-21,Zanzibar,Other Cereal Products,kg,2600
2020-21,Zanzibar,Other Fruits,kg,1848.484848
2020-21,Zanzibar,Other Spices,kg,11922.22222
2020-21,Zanzibar,Plantains,kg,1910.714286
2020-21,Zanzibar,Pulses,kg,2737.5
2020-21,Zanzibar,Rice (husked),kg,1776.393557
2020-21,Zanzibar,Rice (paddy),kg,
2020-21,Zanzibar,Ripe Bananas,kg,2300
2020-21,Zanzibar,Salt,kg,1019.607843
2020-21,Zanzibar,Soft drinks,kg,1625
2020-21,Zanzibar,Sugar,kg,2144.680851
2020-21,Zanzibar,Sugarcane,kg,4166.666667
2020-21,Zanzibar,Sweet Potatoes,kg,1666.666667
2020-21,Zanzibar,Sweets,kg,29861.11111
2020-21,Zanzibar,Tea (dry),kg,10000
2020-21,Zanzibar,Vegetables (fresh),kg,1795.731922
2020-21,Zanzibar,Wheat Flour,kg,1494.4
2020-21,Zanzibar,Yams/Cocoyams,kg,666.6666667
