i,t,m,Males 00-03,Females 00-03,Males 04-08,Females 04-08,Males 09-13,Females 09-13,Males 14-18,Females 14-18,Males 19-30,Females 19-30,Males 31-50,Females 31-50,Males 51-99,Females 51-99,log HSize
0001-001,2012-13,Mainland Rural,0,0,0,0,0,0,0,0,4,0,0,0,2,2,2.079441542
0001-001,2014-15,Mainland Rural,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1.386294361
0001-004,2014-15,Mainland Rural,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
0002-001,2012-13,Mainland Rural,0,2,0,2,0,0,0,0,0,2,2,0,0,0,2.079441542
0002-001,2014-15,Mainland Rural,2,0,0,4,0,0,0,0,0,2,2,0,0,0,2.302585093
0003-001,2012-13,Mainland Rural,0,0,1,1,2,1,1,0,0,0,0,1,1,0,2.079441542
0003-001,2014-15,Mainland Rural,0,0,1,0,1,2,2,0,0,0,0,1,1,0,2.079441542
0003-010,2012-13,Dar Es Salaam,2,0,0,0,0,0,0,0,2,4,0,0,0,0,2.079441542
0004-001,2014-15,Mainland Rural,0,2,2,0,0,0,0,0,0,4,2,0,0,0,2.302585093
0005-001,2012-13,Mainland Rural,2,0,2,0,2,0,0,0,0,2,2,0,0,0,2.302585093
0005-001,2014-15,Mainland Rural,3,0,6,0,3,0,0,3,0,3,3,0,0,0,3.044522438
0006-001,2012-13,Mainland Rural,0,2,0,2,0,2,0,0,0,0,0,2,0,2,2.302585093
0007-001,2012-13,Mainland Rural,0,2,0,4,0,0,0,0,0,2,2,0,0,0,2.302585093
0007-001,2014-15,Mainland Rural,2,0,0,4,0,2,0,0,0,2,2,0,0,0,2.48490665
0008-001,2012-13,Mainland Rural,0,0,2,2,0,2,2,4,0,0,0,0,2,2,2.772588722
0008-001,2014-15,Mainland Rural,2,0,2,0,0,2,0,4,2,2,0,0,2,2,2.890371758
0009-001,2012-13,Mainland Rural,0,0,1,0,0,0,2,0,0,0,0,0,1,1,1.609437912
0009-001,2014-15,Mainland Rural,0,0,0,0,1,0,0,0,2,0,0,0,1,1,1.609437912
0010-001,2012-13,Mainland Rural,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.6931471806
0010-001,2014-15,Mainland Rural,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.6931471806
0011-001,2012-13,Mainland Rural,3,0,3,0,0,6,6,0,6,0,3,3,0,0,3.401197382
0011-001,2014-15,Mainland Rural,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0011-004,2012-13,Mainland Rural,0,3,0,0,0,0,0,0,3,3,0,0,0,0,2.197224577
0012-001,2012-13,Mainland Rural,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0012-001,2014-15,Mainland Rural,0,2,4,0,0,4,4,0,2,2,0,2,2,0,3.091042453
0012-003,2014-15,Mainland Rural,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
0013-001,2012-13,Mainland Rural,0,0,2,2,0,0,0,0,0,0,0,0,2,2,2.079441542
0013-001,2014-15,Mainland Rural,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0014-001,2012-13,Mainland Rural,2,0,0,2,0,2,4,0,0,0,2,2,0,0,2.63905733
0014-001,2014-15,Mainland Rural,0,0,0,2,2,0,0,0,0,0,0,0,2,2,2.079441542
0014-007,2012-13,Mainland Rural,0,0,0,0,4,0,2,0,0,0,2,0,0,0,2.079441542
0015-001,2012-13,Mainland Rural,0,2,0,0,0,0,0,0,2,2,0,0,0,0,1.791759469
0015-001,2014-15,Mainland Rural,2,2,0,2,0,2,4,2,0,0,2,2,0,0,2.890371758
0016-001,2012-13,Mainland Rural,0,2,0,4,0,2,0,0,0,2,2,0,0,0,2.48490665
0016-001,2014-15,Mainland Rural,0,0,0,0,2,0,2,0,2,0,0,0,2,0,2.079441542
0017-001,2012-13,Mainland Rural,3,3,0,3,3,3,6,0,0,0,3,3,0,0,3.295836866
0017-001,2014-15,Mainland Rural,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
0017-002,2014-15,Mainland Rural,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.6931471806
0018-001,2012-13,Mainland Rural,3,3,0,3,3,0,0,0,0,3,3,0,0,0,2.890371758
0018-001,2014-15,Mainland Rural,0,0,0,4,0,4,0,0,0,2,2,0,0,0,2.48490665
0019-001,2012-13,Mainland Rural,0,6,6,0,0,0,0,0,0,3,0,0,3,0,2.890371758
0019-001,2014-15,Mainland Rural,0,3,3,0,6,3,3,0,3,0,3,3,0,0,3.295836866
0019-003,2012-13,Mainland Rural,0,0,0,1,0,0,0,1,2,0,0,0,0,0,1.386294361
0020-001,2012-13,Mainland Rural,2,0,0,0,0,0,0,0,2,2,0,0,0,0,1.791759469
0020-001,2014-15,Mainland Rural,3,0,0,6,3,0,0,0,0,3,3,0,0,0,2.890371758
0021-001,2012-13,Mainland Rural,0,0,0,0,3,0,3,0,3,0,3,0,0,3,2.708050201
0021-001,2014-15,Mainland Other Urban,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1.386294361
0022-001,2012-13,Mainland Rural,0,3,3,3,6,0,0,0,0,0,3,3,0,0,3.044522438
0022-001,2014-15,Mainland Rural,0,0,4,0,2,2,0,0,0,0,2,2,0,0,2.48490665
0023-001,2012-13,Mainland Rural,3,6,6,3,3,3,3,3,0,0,3,3,0,0,3.583518938
0023-001,2014-15,Mainland Rural,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1.386294361
0024-001,2012-13,Mainland Rural,0,2,2,0,2,0,0,2,0,0,2,2,0,0,2.48490665
0024-001,2014-15,Mainland Other Urban,0,0,0,0,4,2,0,2,4,0,2,2,0,0,2.772588722
0025-001,2012-13,Mainland Other Urban,3,3,3,0,0,0,0,0,3,3,0,0,0,0,2.708050201
0025-001,2014-15,Mainland Rural,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1.098612289
0026-001,2012-13,Mainland Rural,3,3,0,3,3,0,0,0,0,3,3,3,0,0,3.044522438
0026-001,2014-15,Mainland Rural,4,0,0,0,0,0,0,0,2,2,0,0,0,0,2.079441542
0027-001,2012-13,Mainland Rural,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1.386294361
0027-001,2014-15,Mainland Other Urban,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0028-001,2012-13,Mainland Rural,0,0,2,2,2,0,4,0,2,0,0,2,2,0,2.772588722
0028-001,2014-15,Mainland Other Urban,0,0,0,1,1,0,0,1,1,0,1,1,0,0,1.791759469
0029-001,2012-13,Mainland Rural,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1.791759469
0029-001,2014-15,Mainland Other Urban,0,0,1,0,0,1,2,0,0,0,1,1,0,0,1.791759469
0030-001,2012-13,Mainland Rural,0,0,0,2,0,0,2,0,0,0,2,2,0,0,2.079441542
0030-001,2014-15,Mainland Other Urban,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1.098612289
0031-001,2012-13,Mainland Rural,0,0,1,0,0,0,1,1,0,0,0,2,0,0,1.609437912
0031-001,2014-15,Mainland Other Urban,2,0,0,2,2,0,2,2,0,0,0,2,0,0,2.48490665
0032-001,2012-13,Mainland Other Urban,0,2,0,2,0,0,0,4,2,2,0,2,0,0,2.63905733
0032-001,2014-15,Mainland Other Urban,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0033-001,2012-13,Mainland Rural,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.6931471806
0033-001,2014-15,Mainland Other Urban,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1.386294361
0034-001,2012-13,Mainland Rural,0,0,0,4,2,2,0,2,0,0,2,2,0,0,2.63905733
0034-001,2014-15,Dar Es Salaam,0,0,2,1,0,0,1,1,2,0,1,0,1,1,2.302585093
0034-003,2012-13,Dar Es Salaam,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1.386294361
0035-001,2012-13,Mainland Other Urban,2,0,0,2,2,0,0,0,2,2,0,0,0,0,2.302585093
0036-001,2012-13,Mainland Rural,0,2,4,2,2,0,4,0,0,2,0,2,2,0,2.995732274
0036-001,2014-15,Mainland Other Urban,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1.098612289
0037-001,2012-13,Mainland Rural,2,0,0,2,0,0,0,0,0,2,0,0,0,2,2.079441542
0037-001,2014-15,Mainland Other Urban,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0038-001,2012-13,Mainland Rural,0,2,0,4,0,2,0,2,2,0,2,2,2,0,2.890371758
0038-001,2014-15,Mainland Other Urban,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0038-002,2012-13,Mainland Rural,2,2,0,2,0,0,0,0,0,2,2,0,0,2,2.48490665
0039-001,2012-13,Mainland Rural,0,0,0,2,0,0,0,0,1,0,0,0,1,1,1.609437912
0039-001,2014-15,Mainland Rural,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.6931471806
0039-004,2012-13,Mainland Rural,0,0,0,2,0,0,0,0,2,2,0,0,0,0,1.791759469
0040-001,2012-13,Mainland Rural,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1.386294361
0040-001,2014-15,Mainland Other Urban,0,0,0,0,3,0,3,0,0,0,0,3,0,0,2.197224577
0041-001,2014-15,Mainland Other Urban,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1.609437912
0041-002,2012-13,Mainland Other Urban,0,0,0,2,0,4,0,0,0,2,0,2,0,0,2.302585093
0041-004,2014-15,Mainland Rural,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.6931471806
0041-006,2012-13,Mainland Other Urban,0,2,0,0,0,0,0,0,2,2,0,0,0,0,1.791759469
0042-001,2012-13,Mainland Other Urban,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1.609437912
0042-001,2014-15,Mainland Other Urban,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.6931471806
0043-001,2012-13,Mainland Other Urban,0,0,0,0,0,4,0,2,0,0,0,2,0,0,2.079441542
0043-001,2014-15,Mainland Rural,0,2,0,2,0,0,0,0,0,0,2,2,0,0,2.079441542
0043-002,2012-13,Dar Es Salaam,0,0,2,0,2,0,2,0,4,0,0,0,2,2,2.63905733
0044-001,2012-13,Mainland Other Urban,0,2,2,0,0,0,0,0,0,0,2,2,0,0,2.079441542
0044-001,2014-15,Mainland Rural,2,0,0,0,0,0,0,0,2,2,0,0,0,0,1.791759469
0045-001,2012-13,Mainland Rural,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
0045-001,2014-15,Mainland Other Urban,0,2,2,0,0,0,0,0,2,2,0,0,0,0,2.079441542
0046-001,2012-13,Mainland Other Urban,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1.386294361
0046-001,2014-15,Mainland Rural,0,6,9,3,0,3,3,3,6,6,3,3,0,0,3.80666249
0046-002,2012-13,Mainland Other Urban,2,2,2,2,0,0,0,0,0,0,2,0,0,2,2.48490665
0047-001,2012-13,Mainland Other Urban,0,0,0,0,0,0,0,1,2,0,0,0,1,1,1.609437912
0047-001,2014-15,Mainland Other Urban,2,2,4,0,0,2,0,2,4,2,0,2,2,0,3.091042453
0048-001,2012-13,Mainland Other Urban,0,0,0,2,0,0,2,2,2,0,0,0,0,2,2.302585093
0048-001,2014-15,Mainland Rural,0,0,0,4,0,0,0,2,0,0,0,0,0,2,2.079441542
0048-002,2012-13,Mainland Other Urban,2,0,0,0,0,0,0,0,2,2,0,0,0,0,1.791759469
0049-001,2012-13,Mainland Other Urban,2,0,0,0,0,2,2,2,0,0,2,2,0,0,2.48490665
0049-001,2014-15,Mainland Rural,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1.386294361
0050-001,2014-15,Mainland Rural,0,2,0,2,0,4,0,0,0,0,0,2,2,0,2.48490665
0051-001,2012-13,Mainland Other Urban,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.6931471806
0051-001,2014-15,Mainland Rural,0,0,0,1,0,0,0,0,2,1,0,0,0,1,1.609437912
0051-002,2012-13,Mainland Other Urban,0,0,0,0,0,0,0,0,0,2,0,0,2,2,1.791759469
0051-003,2012-13,Mainland Other Urban,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1.386294361
0052-001,2012-13,Mainland Other Urban,3,0,3,0,0,0,0,0,3,3,0,0,0,0,2.48490665
0053-001,2012-13,Mainland Other Urban,0,0,0,0,0,0,0,2,2,0,0,0,2,2,2.079441542
0054-001,2012-13,Mainland Other Urban,0,0,0,1,0,1,1,1,0,0,1,1,0,0,1.791759469
0054-001,2014-15,Mainland Rural,0,0,2,0,0,1,0,0,0,1,0,0,0,0,1.386294361
0055-001,2012-13,Mainland Other Urban,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1.098612289
0055-001,2014-15,Mainland Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0055-002,2014-15,Dar Es Salaam,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0055-003,2014-15,Mainland Rural,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.6931471806
0056-001,2012-13,Mainland Rural,0,3,3,3,6,6,3,3,3,6,3,3,0,0,3.737669618
0056-001,2014-15,Mainland Rural,3,0,0,6,0,0,0,0,0,0,0,0,0,3,2.48490665
0057-001,2012-13,Mainland Rural,0,0,6,0,0,0,0,0,0,0,0,0,0,2,2.079441542
0057-001,2014-15,Mainland Rural,0,0,0,0,0,0,0,0,2,0,0,0,0,4,1.791759469
0058-001,2012-13,Mainland Rural,0,0,0,0,1,0,0,0,2,0,0,0,1,1,1.609437912
0058-001,2014-15,Mainland Rural,3,0,0,3,0,0,0,0,0,0,3,3,0,0,2.48490665
0059-001,2012-13,Mainland Rural,2,0,2,0,0,0,2,0,4,2,0,0,0,2,2.63905733
0059-001,2014-15,Mainland Rural,0,0,4,0,0,0,0,0,0,0,2,2,0,0,2.079441542
0059-002,2012-13,Mainland Rural,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1.386294361
0060-001,2012-13,Mainland Other Urban,0,0,0,0,2,0,0,2,0,0,0,2,0,0,1.791759469
0060-001,2014-15,Mainland Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0060-002,2014-15,Dar Es Salaam,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1.386294361
0061-001,2012-13,Mainland Rural,2,0,0,2,0,0,0,0,0,2,2,0,0,0,2.079441542
0061-001,2014-15,Mainland Other Urban,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0062-001,2012-13,Mainland Rural,2,0,4,0,2,0,0,0,0,0,2,2,0,0,2.48490665
0062-001,2014-15,Mainland Rural,0,0,0,1,1,1,0,1,2,1,0,1,1,0,2.197224577
0062-004,2014-15,Mainland Rural,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.6931471806
0063-001,2012-13,Dar Es Salaam,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1.098612289
0063-001,2014-15,Mainland Rural,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1.386294361
0064-001,2012-13,Mainland Rural,0,0,0,0,3,3,0,0,0,0,0,0,0,3,2.197224577
0064-001,2014-15,Mainland Rural,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0065-001,2012-13,Mainland Rural,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1.386294361
0065-001,2014-15,Mainland Rural,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1.386294361
0066-001,2012-13,Mainland Rural,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
0066-001,2014-15,Mainland Rural,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1.098612289
0066-002,2014-15,Mainland Other Urban,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0066-003,2014-15,Mainland Rural,0,0,6,0,2,2,4,2,4,2,0,2,2,0,3.258096538
0067-001,2012-13,Mainland Rural,3,0,0,0,0,0,0,0,3,3,0,0,0,0,2.197224577
0067-001,2014-15,Mainland Other Urban,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1.098612289
0067-004,2014-15,Mainland Other Urban,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1.098612289
0068-001,2012-13,Mainland Rural,0,2,0,0,2,2,0,0,0,0,0,2,0,0,2.079441542
0068-001,2014-15,Mainland Rural,0,3,3,3,0,3,0,0,0,3,3,0,0,0,2.890371758
0069-001,2012-13,Mainland Rural,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1.386294361
0069-002,2014-15,Mainland Rural,4,4,0,4,4,4,0,4,12,4,0,4,0,0,3.784189634
0070-001,2012-13,Mainland Rural,0,2,2,0,0,2,2,2,0,0,2,2,0,0,2.63905733
0071-001,2012-13,Mainland Rural,0,6,6,0,0,3,0,0,0,0,3,3,0,0,3.044522438
0071-001,2014-15,Mainland Rural,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1.386294361
0072-001,2012-13,Mainland Rural,0,0,0,0,0,0,0,0,2,0,0,2,2,0,1.791759469
0072-001,2014-15,Mainland Other Urban,0,0,1,1,0,0,0,1,1,0,0,1,1,0,1.791759469
0072-003,2012-13,Mainland Rural,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1.386294361
0072-003,2014-15,Mainland Other Urban,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
0073-001,2012-13,Mainland Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0073-001,2014-15,Mainland Rural,0,0,4,2,0,0,0,0,0,2,2,0,0,0,2.302585093
0073-002,2012-13,Mainland Rural,0,0,0,0,0,4,0,0,0,0,2,2,0,2,2.302585093
0074-001,2012-13,Mainland Rural,0,6,6,0,0,0,3,0,0,0,0,3,3,0,3.044522438
0074-001,2014-15,Mainland Rural,0,0,2,2,0,4,2,0,2,2,0,2,2,0,2.890371758
0075-001,2012-13,Mainland Rural,0,0,2,0,0,0,2,0,0,2,0,0,2,2,2.302585093
0075-001,2014-15,Mainland Rural,0,0,0,2,0,0,0,4,2,0,2,2,0,0,2.48490665
0075-003,2012-13,Mainland Rural,0,2,4,0,0,0,0,2,2,0,0,2,0,0,2.48490665
0076-001,2012-13,Mainland Rural,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1.386294361
0076-003,2012-13,Mainland Rural,2,0,0,0,0,0,0,0,2,2,0,0,0,0,1.791759469
0077-001,2012-13,Mainland Rural,0,2,4,2,2,2,2,0,2,4,0,2,0,0,3.091042453
0077-001,2014-15,Mainland Rural,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1.098612289
0077-003,2014-15,Mainland Rural,0,0,1,0,2,1,0,1,0,0,1,1,0,0,1.945910149
0078-001,2012-13,Mainland Rural,2,0,0,4,2,0,0,0,0,0,2,2,0,0,2.48490665
0078-001,2014-15,Mainland Rural,0,0,2,0,4,0,0,2,4,0,2,2,0,4,2.995732274
0079-001,2012-13,Mainland Rural,0,2,2,0,2,0,0,2,0,0,0,2,0,0,2.302585093
0079-001,2014-15,Mainland Rural,0,0,2,0,0,0,0,0,2,2,0,0,0,0,1.791759469
0080-001,2012-13,Mainland Rural,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1.609437912
0080-001,2014-15,Mainland Rural,3,0,0,3,6,0,0,0,3,3,0,0,0,0,2.890371758
0081-001,2012-13,Mainland Rural,2,0,2,4,2,0,2,0,0,4,0,4,2,2,3.17805383
0081-001,2014-15,Mainland Rural,0,0,0,1,1,1,1,1,1,0,0,0,1,1,2.079441542
0081-004,2014-15,Mainland Rural,0,2,0,0,0,0,0,0,2,2,0,0,0,0,1.791759469
0082-001,2012-13,Mainland Rural,0,2,0,2,0,0,0,0,0,2,0,0,2,0,2.079441542
0082-001,2014-15,Mainland Rural,0,0,2,0,2,0,4,0,0,0,0,0,2,2,2.48490665
0082-003,2014-15,Mainland Other Urban,0,0,2,0,0,0,0,0,0,2,2,0,0,0,1.791759469
0082-004,2014-15,Mainland Other Urban,2,1,0,1,0,0,0,1,0,2,1,0,0,0,2.079441542
0082-005,2014-15,Dar Es Salaam,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.6931471806
0083-001,2012-13,Mainland Rural,2,0,2,0,2,0,0,0,0,2,2,0,0,0,2.302585093
0083-001,2014-15,Mainland Rural,0,0,0,0,0,0,0,0,3,1,0,0,1,1,1.791759469
0084-001,2012-13,Mainland Rural,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
0084-001,2014-15,Mainland Rural,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1.098612289
0084-002,2014-15,Mainland Rural,0,0,0,0,0,0,2,0,2,2,4,2,0,0,2.48490665
0085-001,2012-13,Mainland Rural,0,2,2,0,0,0,0,0,0,2,0,0,2,0,2.079441542
0085-001,2014-15,Mainland Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0085-002,2014-15,Mainland Other Urban,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
0085-003,2014-15,Mainland Other Urban,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1.098612289
0086-001,2012-13,Mainland Rural,0,2,0,0,0,0,0,0,2,2,0,0,0,0,1.791759469
0086-001,2014-15,Dar Es Salaam,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1.386294361
0087-001,2012-13,Mainland Rural,3,0,0,3,0,0,6,0,0,0,3,3,0,0,2.890371758
0087-001,2014-15,Mainland Rural,0,0,0,0,2,0,0,2,0,0,2,2,0,0,2.079441542
0087-003,2012-13,Mainland Rural,2,0,0,0,0,0,0,0,2,2,0,0,0,0,1.791759469
0088-001,2012-13,Mainland Rural,0,3,0,6,0,0,0,0,3,3,0,0,0,0,2.708050201
0088-001,2014-15,Mainland Rural,0,0,2,0,0,0,0,2,0,0,0,2,2,0,2.079441542
0089-001,2012-13,Mainland Rural,3,3,0,0,0,0,0,6,3,3,0,0,0,3,3.044522438
0089-001,2014-15,Mainland Rural,0,2,0,4,2,0,4,0,2,0,2,2,0,2,2.995732274
0089-002,2014-15,Mainland Rural,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1.386294361
0090-001,2012-13,Mainland Rural,2,0,0,2,0,0,0,0,0,2,0,0,0,2,2.079441542
0090-001,2014-15,Mainland Rural,0,0,0,0,0,0,0,1,2,0,0,0,1,1,1.609437912
0090-003,2012-13,Mainland Rural,2,0,0,0,0,0,0,0,2,2,0,0,0,0,1.791759469
0091-001,2012-13,Mainland Rural,0,0,2,2,0,0,0,0,0,0,0,2,0,0,1.791759469
0091-001,2014-15,Mainland Rural,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1.098612289
0091-102,2012-13,Mainland Other Urban,0,0,0,0,2,0,2,2,0,0,2,0,0,0,2.079441542
0092-001,2012-13,Mainland Rural,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0092-001,2014-15,Mainland Other Urban,0,0,0,2,0,2,0,0,0,0,2,2,0,0,2.079441542
0093-001,2012-13,Mainland Rural,6,0,0,3,0,3,0,6,3,0,3,3,0,0,3.295836866
0093-001,2014-15,Dar Es Salaam,0,0,0,3,0,0,0,0,3,6,0,3,3,0,2.890371758
0094-001,2012-13,Mainland Rural,0,2,0,0,2,0,0,0,2,0,0,2,2,0,2.302585093
0094-002,2014-15,Mainland Rural,0,0,1,0,0,0,0,2,0,0,0,1,0,2,1.791759469
0095-001,2012-13,Mainland Rural,0,2,2,0,0,0,0,0,0,2,2,0,0,0,2.079441542
0095-001,2014-15,Mainland Rural,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1.098612289
0095-002,2012-13,Mainland Rural,0,0,0,0,0,0,0,2,2,0,0,0,2,2,2.079441542
0095-004,2012-13,Mainland Rural,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1.386294361
0096-001,2012-13,Mainland Rural,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0096-001,2014-15,Mainland Other Urban,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1.609437912
0096-002,2014-15,Mainland Rural,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1.609437912
0097-001,2012-13,Mainland Rural,0,0,0,2,0,4,0,0,0,2,2,0,0,0,2.302585093
0097-001,2014-15,Mainland Other Urban,0,3,0,0,3,0,3,0,0,0,3,3,3,6,3.17805383
0097-002,2012-13,Mainland Rural,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1.386294361
0098-001,2012-13,Mainland Rural,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.6931471806
0098-001,2014-15,Dar Es Salaam,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
0099-001,2012-13,Mainland Rural,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1.386294361
0099-001,2014-15,Mainland Rural,2,0,2,0,0,2,0,2,2,0,2,2,0,0,2.63905733
0099-003,2012-13,Mainland Rural,0,2,0,0,0,0,0,0,2,2,0,0,0,0,1.791759469
0099-003,2014-15,Dar Es Salaam,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.6931471806
0099-008,2012-13,Mainland Rural,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0099-008,2014-15,Mainland Rural,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1.386294361
0100-001,2012-13,Mainland Rural,3,0,0,3,0,0,3,0,3,3,0,0,0,0,2.708050201
0100-001,2014-15,Mainland Rural,4,0,0,0,0,0,0,0,2,2,0,0,0,0,2.079441542
0101-001,2012-13,Mainland Rural,3,3,3,0,3,3,0,0,0,0,3,3,0,0,3.044522438
0101-001,2014-15,Mainland Rural,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1.386294361
0101-002,2014-15,Mainland Other Urban,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
0101-003,2014-15,Mainland Rural,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
1010140020171,2008-09,Mainland Rural,0,0,0,3,0,0,3,0,3,0,0,0,3,3,2.708050201
101014002017101,2010-11,Mainland Rural,0,0,0,3,0,0,0,0,6,0,0,0,3,3,2.708050201
1010140020284,2008-09,Mainland Rural,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
101014002028401,2010-11,Mainland Rural,0,2,0,2,0,0,0,0,0,2,2,0,0,0,2.079441542
1010140020297,2008-09,Mainland Rural,3,3,3,3,3,0,3,0,3,3,3,3,0,0,3.401197382
101014002029701,2010-11,Mainland Rural,3,0,3,3,3,3,3,3,0,3,0,3,3,0,3.401197382
101014002029704,2010-11,Dar Es Salaam,0,2,0,4,0,2,0,2,2,0,0,2,0,0,2.63905733
1010140020409,2008-09,Mainland Rural,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1.386294361
101014002040901,2010-11,Mainland Rural,3,0,6,0,0,3,0,0,0,3,3,0,0,0,2.890371758
1010140020471,2008-09,Mainland Rural,0,0,0,6,0,0,0,0,0,0,0,4,0,0,2.302585093
101014002047101,2010-11,Mainland Rural,0,2,0,2,0,2,0,0,0,0,0,2,0,2,2.302585093
1010140020551,2008-09,Mainland Rural,0,2,0,0,0,0,0,0,1,1,0,0,0,0,1.386294361
101014002055101,2010-11,Mainland Rural,0,4,0,2,0,0,0,0,0,2,2,0,0,0,2.302585093
1010140020761,2008-09,Mainland Rural,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
101014002076101,2010-11,Mainland Rural,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1010140020762,2008-09,Mainland Rural,0,0,1,0,0,0,2,0,0,0,0,1,1,0,1.609437912
101014002076201,2010-11,Mainland Rural,0,0,1,0,0,0,2,0,0,0,0,1,1,0,1.609437912
0102-001,2012-13,Mainland Rural,0,2,0,0,0,0,0,0,0,2,2,0,0,0,1.791759469
0102-001,2014-15,Mainland Other Urban,2,0,0,2,4,0,0,2,0,0,2,2,0,0,2.63905733
