i,t,m,Males 00-03,Females 00-03,Males 04-08,Females 04-08,Males 09-13,Females 09-13,Males 14-18,Females 14-18,Males 19-30,Females 19-30,Males 31-50,Females 31-50,Males 51-99,Females 51-99,log HSize
2036-010,2012-13,Dar Es Salaam,0,0,0,0,0,0,0,0,4,2,0,0,0,0,1.791759469
2037-001,2012-13,Mainland Other Urban,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1.386294361
2038-001,2012-13,Mainland Other Urban,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1.609437912
2039-001,2012-13,Mainland Other Urban,0,0,0,0,0,0,3,0,0,3,3,3,0,0,2.48490665
2040-001,2012-13,Mainland Other Urban,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1.386294361
2041-001,2012-13,Mainland Rural,4,0,8,4,4,0,4,4,0,4,4,4,0,0,3.688879454
2042-001,2012-13,Mainland Other Urban,0,3,3,0,3,0,3,0,3,0,3,3,0,0,3.044522438
2043-001,2012-13,Mainland Other Urban,0,2,0,2,0,0,0,0,0,0,2,2,0,0,2.079441542
2044-001,2012-13,Mainland Other Urban,0,2,0,2,0,4,0,2,2,2,2,2,0,2,2.995732274
2045-001,2012-13,Mainland Other Urban,0,3,0,0,0,0,0,3,3,3,3,0,0,0,2.708050201
2045-001,2014-15,Mainland Rural,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1.791759469
2046-001,2012-13,Mainland Other Urban,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1.609437912
2046-001,2014-15,Mainland Rural,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
2047-001,2012-13,Mainland Other Urban,4,0,0,0,0,0,0,0,0,2,2,0,0,0,2.079441542
2047-001,2014-15,Mainland Rural,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1.098612289
2048-001,2012-13,Mainland Other Urban,0,0,3,0,0,0,3,0,6,6,0,0,0,3,3.044522438
2048-001,2014-15,Mainland Rural,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1.098612289
2049-001,2012-13,Mainland Rural,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2049-001,2014-15,Mainland Rural,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1.609437912
2049-002,2012-13,Mainland Other Urban,0,0,0,0,2,0,0,4,4,2,0,2,2,0,2.772588722
2050-001,2012-13,Mainland Other Urban,0,6,0,0,0,0,0,0,3,3,0,0,0,0,2.48490665
2050-001,2014-15,Mainland Rural,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.6931471806
2051-001,2012-13,Mainland Other Urban,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1.386294361
