i,t,m,j,Expenditure
0001-001-001,2019-20,Mainland Rural,Cassava Fresh,1500
0001-001-001,2019-20,Mainland Rural,Chicken,10400
0001-001-001,2019-20,Mainland Rural,Cooking Oil,875
0001-001-001,2019-20,Mainland Rural,Leafy Greens,1757.142857
0001-001-001,2019-20,Mainland Rural,Millet & Sorghum (flour),10500
0001-001-001,2019-20,Mainland Rural,Salt,200
0001-001-001,2019-20,Mainland Rural,Sugar,700
0001-001-001,2019-20,Mainland Rural,Tea (dry),120
0001-001-001,2019-20,Mainland Rural,Vegetables (fresh),2700
0001-001-003,2019-20,Mainland Rural,Beef,3000
0001-001-003,2019-20,Mainland Rural,Cassava Fresh,1156.25
0001-001-003,2019-20,Mainland Rural,Cooking Oil,875
0001-001-003,2019-20,Mainland Rural,Dairy Products,1200
0001-001-003,2019-20,Mainland Rural,Fish (dried),2250
0001-001-003,2019-20,Mainland Rural,Leafy Greens,1415.47619
0001-001-003,2019-20,Mainland Rural,Maize (flour),1200
0001-001-003,2019-20,Mainland Rural,Millet & Sorghum (flour),6000
0001-001-003,2019-20,Mainland Rural,Pulses,1000
0001-001-003,2019-20,Mainland Rural,Salt,200
0001-001-003,2019-20,Mainland Rural,Vegetables (fresh),1882.5
0001-001-004,2019-20,Dar Es Salaam,"Buns, Cakes And Biscuits",1484
0001-001-004,2019-20,Dar Es Salaam,Cooking Oil,1800
0001-001-004,2019-20,Dar Es Salaam,Fish (fresh),5600
0001-001-004,2019-20,Dar Es Salaam,Goat Meat,7000
0001-001-004,2019-20,Dar Es Salaam,Maize (flour),4200
0001-001-004,2019-20,Dar Es Salaam,Milk (fresh),2000
0001-001-004,2019-20,Dar Es Salaam,Other Fruits,1200
0001-001-004,2019-20,Dar Es Salaam,Plantains,666.6666667
0001-001-004,2019-20,Dar Es Salaam,Pulses,1800
0001-001-004,2019-20,Dar Es Salaam,Rice (husked),1991.666667
0001-001-004,2019-20,Dar Es Salaam,Salt,200
0001-001-004,2019-20,Dar Es Salaam,Soft drinks,10000
0001-001-004,2019-20,Dar Es Salaam,Sugar,1200
0001-001-004,2019-20,Dar Es Salaam,Sweet Potatoes,530.3571429
0001-001-004,2019-20,Dar Es Salaam,Tea (dry),200
0001-001-004,2019-20,Dar Es Salaam,Vegetables (fresh),1143.676471
0001-004-001,2019-20,Mainland Rural,Cooking Oil,1050
0001-004-001,2019-20,Mainland Rural,Dairy Products,2400
0001-004-001,2019-20,Mainland Rural,Fish (dried),3250
0001-004-001,2019-20,Mainland Rural,"Honey, Syrups, etc.",1045
0001-004-001,2019-20,Mainland Rural,Leafy Greens,410
0001-004-001,2019-20,Mainland Rural,"Macaroni, Spaghetti",2900
0001-004-001,2019-20,Mainland Rural,Maize (flour),2400
0001-004-001,2019-20,Mainland Rural,Milk (fresh),4000
0001-004-001,2019-20,Mainland Rural,Millet & Sorghum (flour),7500
0001-004-001,2019-20,Mainland Rural,Rice (husked),5400
0001-004-001,2019-20,Mainland Rural,Salt,250
0001-004-001,2019-20,Mainland Rural,Sugar,700
0001-004-001,2019-20,Mainland Rural,Sweet Potatoes,1866.666667
0001-004-001,2019-20,Mainland Rural,Tea (dry),210
0001-004-001,2019-20,Mainland Rural,Vegetables (fresh),1275
0001-004-002,2019-20,Mainland Other Urban,Cooking Oil,1050
0001-004-002,2019-20,Mainland Other Urban,Fish (dried),450
0001-004-002,2019-20,Mainland Other Urban,Leafy Greens,656.25
0001-004-002,2019-20,Mainland Other Urban,Millet & Sorghum (flour),7428.571429
0001-004-002,2019-20,Mainland Other Urban,Salt,100
0001-004-002,2019-20,Mainland Other Urban,Vegetables (fresh),463.6363636
0003-001-001,2019-20,Mainland Rural,Beef,12000
0003-001-001,2019-20,Mainland Rural,"Buns, Cakes And Biscuits",4247.165775
0003-001-001,2019-20,Mainland Rural,Cassava Fresh,1625
0003-001-001,2019-20,Mainland Rural,Chicken,8000
0003-001-001,2019-20,Mainland Rural,Coconuts,2250
0003-001-001,2019-20,Mainland Rural,Coffee & Cocoa,200.952381
0003-001-001,2019-20,Mainland Rural,Cooking Oil,2625
0003-001-001,2019-20,Mainland Rural,Goat Meat,5000
0003-001-001,2019-20,Mainland Rural,Groundnuts,1000
0003-001-001,2019-20,Mainland Rural,"Honey, Syrups, etc.",2090
0003-001-001,2019-20,Mainland Rural,Irish Potatoes,2000
0003-001-001,2019-20,Mainland Rural,Leafy Greens,4685.714286
0003-001-001,2019-20,Mainland Rural,"Macaroni, Spaghetti",4350
0003-001-001,2019-20,Mainland Rural,Maize (flour),4200
0003-001-001,2019-20,Mainland Rural,Milk (fresh),7000
0003-001-001,2019-20,Mainland Rural,Pulses,6000
0003-001-001,2019-20,Mainland Rural,Rice (husked),12600
0003-001-001,2019-20,Mainland Rural,Salt,500
0003-001-001,2019-20,Mainland Rural,Sugar,2800
0003-001-001,2019-20,Mainland Rural,Sweet Potatoes,2333.333333
0003-001-001,2019-20,Mainland Rural,Tea (dry),500
0003-001-001,2019-20,Mainland Rural,Vegetables (fresh),6900
0003-001-001,2019-20,Mainland Rural,Wheat Flour,1750
0004-001-001,2019-20,Mainland Rural,Beef,6000
0004-001-001,2019-20,Mainland Rural,Bread,1800
0004-001-001,2019-20,Mainland Rural,"Buns, Cakes And Biscuits",4795.187166
0004-001-001,2019-20,Mainland Rural,Cassava Fresh,1625
0004-001-001,2019-20,Mainland Rural,Chicken,10400
0004-001-001,2019-20,Mainland Rural,Citrus Fruits,77.5
0004-001-001,2019-20,Mainland Rural,Coconuts,3125
0004-001-001,2019-20,Mainland Rural,Cooking Oil,3500
0004-001-001,2019-20,Mainland Rural,Dairy Products,1200
0004-001-001,2019-20,Mainland Rural,Eggs,2100
0004-001-001,2019-20,Mainland Rural,Fish (fresh),2857.142857
0004-001-001,2019-20,Mainland Rural,Goat Meat,2500
0004-001-001,2019-20,Mainland Rural,"Honey, Syrups, etc.",2090
0004-001-001,2019-20,Mainland Rural,Irish Potatoes,3000
0004-001-001,2019-20,Mainland Rural,Leafy Greens,1561.904762
0004-001-001,2019-20,Mainland Rural,"Macaroni, Spaghetti",13050
0004-001-001,2019-20,Mainland Rural,Maize (flour),4200
0004-001-001,2019-20,Mainland Rural,Maize (grain),1300
0004-001-001,2019-20,Mainland Rural,Pulses,2000
0004-001-001,2019-20,Mainland Rural,Rice (husked),15750
0004-001-001,2019-20,Mainland Rural,Salt,250
0004-001-001,2019-20,Mainland Rural,Soft drinks,3000
0004-001-001,2019-20,Mainland Rural,Sugar,2800
0004-001-001,2019-20,Mainland Rural,Sugarcane,766.6666667
0004-001-001,2019-20,Mainland Rural,Sweet Potatoes,1000
0004-001-001,2019-20,Mainland Rural,Sweets,250
0004-001-001,2019-20,Mainland Rural,Tea (dry),400
0004-001-001,2019-20,Mainland Rural,Vegetables (fresh),6750
0005-001-001,2019-20,Mainland Rural,Beef,3000
0005-001-001,2019-20,Mainland Rural,"Buns, Cakes And Biscuits",1096.042781
0005-001-001,2019-20,Mainland Rural,Cassava Fresh,1750
0005-001-001,2019-20,Mainland Rural,Cooking Oil,1750
0005-001-001,2019-20,Mainland Rural,Fish (dried),1250
0005-001-001,2019-20,Mainland Rural,Goat Meat,5000
0005-001-001,2019-20,Mainland Rural,Irish Potatoes,1800
0005-001-001,2019-20,Mainland Rural,Leafy Greens,1327.619048
0005-001-001,2019-20,Mainland Rural,Maize (flour),8400
0005-001-001,2019-20,Mainland Rural,Pulses,7000
0005-001-001,2019-20,Mainland Rural,Rice (husked),8100
0005-001-001,2019-20,Mainland Rural,Salt,200
0005-001-001,2019-20,Mainland Rural,Sugar,2800
0005-001-001,2019-20,Mainland Rural,Sugarcane,616.6666667
0005-001-001,2019-20,Mainland Rural,Sweet Potatoes,1066.666667
0005-001-001,2019-20,Mainland Rural,Tea (dry),500
0005-001-001,2019-20,Mainland Rural,Vegetables (fresh),2025
0007-001-001,2019-20,Mainland Rural,Beef,3000
0007-001-001,2019-20,Mainland Rural,Cooking Oil,2100
0007-001-001,2019-20,Mainland Rural,Dairy Products,1200
0007-001-001,2019-20,Mainland Rural,Leafy Greens,2245.238095
0007-001-001,2019-20,Mainland Rural,Maize (flour),13200
0007-001-001,2019-20,Mainland Rural,Milk (fresh),1000
0007-001-001,2019-20,Mainland Rural,Pulses,8000
0007-001-001,2019-20,Mainland Rural,Salt,200
0007-001-001,2019-20,Mainland Rural,Sugar,2800
0007-001-001,2019-20,Mainland Rural,Sugarcane,2266.666667
0007-001-001,2019-20,Mainland Rural,Tea (dry),120
0007-001-001,2019-20,Mainland Rural,Vegetables (fresh),3600
0009-001-001,2019-20,Mainland Rural,Cooking Oil,612.5
0009-001-001,2019-20,Mainland Rural,Fish (fresh),571.4285714
0009-001-001,2019-20,Mainland Rural,Leafy Greens,6052.380952
0009-001-001,2019-20,Mainland Rural,Other Cereals,20000
0009-001-001,2019-20,Mainland Rural,Pulses,2000
0009-001-001,2019-20,Mainland Rural,Rice (husked),3600
0009-001-001,2019-20,Mainland Rural,Salt,150
0009-001-001,2019-20,Mainland Rural,Vegetables (fresh),600
0010-001-001,2019-20,Mainland Rural,Beef,6000
0010-001-001,2019-20,Mainland Rural,"Buns, Cakes And Biscuits",5754.224599
0010-001-001,2019-20,Mainland Rural,Chicken,8000
0010-001-001,2019-20,Mainland Rural,Cooking Oil,612.5
0010-001-001,2019-20,Mainland Rural,Leafy Greens,488.0952381
0010-001-001,2019-20,Mainland Rural,Maize (flour),8400
0010-001-001,2019-20,Mainland Rural,Plantains,1000
0010-001-001,2019-20,Mainland Rural,Pulses,1000
0010-001-001,2019-20,Mainland Rural,Ripe Bananas,333.3333333
0010-001-001,2019-20,Mainland Rural,Salt,200
0010-001-001,2019-20,Mainland Rural,Sugar,700
0010-001-001,2019-20,Mainland Rural,Sweet Potatoes,1000
0010-001-001,2019-20,Mainland Rural,Tea (dry),210
0010-001-001,2019-20,Mainland Rural,Vegetables (fresh),2250
0011-001-001,2019-20,Mainland Rural,Cooking Oil,1750
0011-001-001,2019-20,Mainland Rural,Fish (dried),200
0011-001-001,2019-20,Mainland Rural,Leafy Greens,2733.333333
0011-001-001,2019-20,Mainland Rural,Maize (flour),12000
0011-001-001,2019-20,Mainland Rural,Salt,300
0011-001-001,2019-20,Mainland Rural,Vegetables (fresh),900
0012-001-001,2019-20,Mainland Rural,Fish (fresh),1428.571429
0012-001-001,2019-20,Mainland Rural,Maize (flour),10800
0012-001-001,2019-20,Mainland Rural,Maize (grain),2600
0012-001-001,2019-20,Mainland Rural,Millet & Sorghum (flour),18000
0012-001-001,2019-20,Mainland Rural,Pulses,3000
0012-001-001,2019-20,Mainland Rural,Salt,500
0012-001-001,2019-20,Mainland Rural,Sugarcane,866.6666667
0012-001-001,2019-20,Mainland Rural,Vegetables (preserved),750
0012-001-010,2019-20,Mainland Rural,Cooking Oil,525
0012-001-010,2019-20,Mainland Rural,Leafy Greens,2733.333333
0012-001-010,2019-20,Mainland Rural,Maize (flour),4200
0012-001-010,2019-20,Mainland Rural,Salt,200
0012-001-010,2019-20,Mainland Rural,Vegetables (fresh),1050
0012-003-001,2019-20,Mainland Rural,Leafy Greens,273.3333333
0012-003-001,2019-20,Mainland Rural,Millet & Sorghum (flour),1575
0012-003-001,2019-20,Mainland Rural,Pulses,4000
0012-003-001,2019-20,Mainland Rural,Salt,250
0012-003-001,2019-20,Mainland Rural,Vegetables (fresh),1620
0012-003-001,2019-20,Mainland Rural,Vegetables (preserved),200
0013-001-001,2019-20,Mainland Rural,Cooking Oil,700
0013-001-001,2019-20,Mainland Rural,Fish (dried),1100
0013-001-001,2019-20,Mainland Rural,Groundnuts,1000
0013-001-001,2019-20,Mainland Rural,Maize (flour),1800
0013-001-001,2019-20,Mainland Rural,Salt,200
0013-001-001,2019-20,Mainland Rural,Sugarcane,600
0013-001-001,2019-20,Mainland Rural,Vegetables (fresh),975
0013-001-001,2019-20,Mainland Rural,Vegetables (preserved),850
0015-001-001,2019-20,Mainland Rural,Beef,6000
0015-001-001,2019-20,Mainland Rural,Chicken,8000
0015-001-001,2019-20,Mainland Rural,Cooking Oil,1225
0015-001-001,2019-20,Mainland Rural,Fish (fresh),1714.285714
0015-001-001,2019-20,Mainland Rural,Leafy Greens,5173.809524
0015-001-001,2019-20,Mainland Rural,Maize (flour),14400
0015-001-001,2019-20,Mainland Rural,Maize (grain),650
0015-001-001,2019-20,Mainland Rural,Pulses,500
0015-001-001,2019-20,Mainland Rural,Rice (husked),5400
0015-001-001,2019-20,Mainland Rural,Salt,200
0015-001-001,2019-20,Mainland Rural,Sugar,2800
0015-001-001,2019-20,Mainland Rural,Sugarcane,166.6666667
0015-001-001,2019-20,Mainland Rural,Tea (dry),500
0015-001-001,2019-20,Mainland Rural,Vegetables (fresh),4800
0015-001-001,2019-20,Mainland Rural,Wheat Flour,700
0016-001-001,2019-20,Mainland Rural,Leafy Greens,4392.857143
0016-001-001,2019-20,Mainland Rural,Maize (flour),2400
0016-001-001,2019-20,Mainland Rural,Salt,200
0016-001-002,2019-20,Mainland Rural,Beef,9000
0016-001-002,2019-20,Mainland Rural,Cassava Fresh,1875
0016-001-002,2019-20,Mainland Rural,Cooking Oil,1225
0016-001-002,2019-20,Mainland Rural,Fish (dried),4000
0016-001-002,2019-20,Mainland Rural,Leafy Greens,2440.47619
0016-001-002,2019-20,Mainland Rural,Maize (flour),15600
0016-001-002,2019-20,Mainland Rural,Rice (husked),2700
0016-001-002,2019-20,Mainland Rural,Salt,200
0016-001-002,2019-20,Mainland Rural,Sugar,2800
0016-001-002,2019-20,Mainland Rural,Sweet Potatoes,3000
0016-001-002,2019-20,Mainland Rural,Tea (dry),500
0016-001-002,2019-20,Mainland Rural,Vegetables (fresh),4200
0017-001-001,2019-20,Mainland Rural,"Buns, Cakes And Biscuits",570.855615
0017-001-001,2019-20,Mainland Rural,Citrus Fruits,775
0017-001-001,2019-20,Mainland Rural,Coconuts,3125
0017-001-001,2019-20,Mainland Rural,Cooking Oil,1750
0017-001-001,2019-20,Mainland Rural,Fish (dried),4000
0017-001-001,2019-20,Mainland Rural,Fish (fresh),1714.285714
0017-001-001,2019-20,Mainland Rural,Groundnuts,500
0017-001-001,2019-20,Mainland Rural,Leafy Greens,1464.285714
0017-001-001,2019-20,Mainland Rural,Maize (flour),9600
0017-001-001,2019-20,Mainland Rural,Plantains,1000
0017-001-001,2019-20,Mainland Rural,Pulses,4000
0017-001-001,2019-20,Mainland Rural,Salt,200
0017-001-001,2019-20,Mainland Rural,Sugar,1400
0017-001-001,2019-20,Mainland Rural,Sugarcane,1833.333333
0017-001-001,2019-20,Mainland Rural,Sweets,250
0017-001-001,2019-20,Mainland Rural,Tea (dry),150
0017-001-001,2019-20,Mainland Rural,Vegetables (fresh),2700
0017-002-001,2019-20,Mainland Other Urban,Coconuts,1714.285714
0017-002-001,2019-20,Mainland Other Urban,Cooking Oil,1750
0017-002-001,2019-20,Mainland Other Urban,Dairy Products,341.6666667
0017-002-001,2019-20,Mainland Other Urban,Fish (dried),6000
0017-002-001,2019-20,Mainland Other Urban,Leafy Greens,2843.75
0017-002-001,2019-20,Mainland Other Urban,Maize (flour),6000
0017-002-001,2019-20,Mainland Other Urban,Other Spices,1000
0017-002-001,2019-20,Mainland Other Urban,Plantains,3833.333333
0017-002-001,2019-20,Mainland Other Urban,Pulses,4000
0017-002-001,2019-20,Mainland Other Urban,Rice (husked),7200
0017-002-001,2019-20,Mainland Other Urban,Salt,200
0017-002-001,2019-20,Mainland Other Urban,Sugar,2500
0017-002-001,2019-20,Mainland Other Urban,Vegetables (fresh),1390.909091
0018-001-001,2019-20,Mainland Rural,"Buns, Cakes And Biscuits",274.0106952
0018-001-001,2019-20,Mainland Rural,Cooking Oil,1225000
0018-001-001,2019-20,Mainland Rural,Fish (dried),2250
0018-001-001,2019-20,Mainland Rural,Leafy Greens,146.4285714
0018-001-001,2019-20,Mainland Rural,Maize (flour),9600
0018-001-001,2019-20,Mainland Rural,Pulses,2000
0018-001-001,2019-20,Mainland Rural,Rice (husked),2700
0018-001-001,2019-20,Mainland Rural,Ripe Bananas,388.8888889
0018-001-001,2019-20,Mainland Rural,Salt,250
0018-001-001,2019-20,Mainland Rural,Soft drinks,2928.571429
0018-001-001,2019-20,Mainland Rural,Sugar,2800
0018-001-001,2019-20,Mainland Rural,Sugarcane,666.6666667
0018-001-001,2019-20,Mainland Rural,Sweet Potatoes,1333.333333
0018-001-001,2019-20,Mainland Rural,Tea (dry),210
0018-001-001,2019-20,Mainland Rural,Vegetables (fresh),2940
0018-001-001,2019-20,Mainland Rural,Wheat Flour,4200
0020-001-001,2019-20,Mainland Rural,Cooking Oil,1750
0020-001-001,2019-20,Mainland Rural,Groundnuts,1000
0020-001-001,2019-20,Mainland Rural,Leafy Greens,1561.904762
0020-001-001,2019-20,Mainland Rural,Maize (flour),24000
0020-001-001,2019-20,Mainland Rural,Pulses,4000
0020-001-001,2019-20,Mainland Rural,Salt,200
0020-001-001,2019-20,Mainland Rural,Sugar,700
0020-001-001,2019-20,Mainland Rural,Vegetables (fresh),1890
0021-001-002,2019-20,Mainland Other Urban,Beef,6000
0021-001-002,2019-20,Mainland Other Urban,Cooking Oil,1225
0021-001-002,2019-20,Mainland Other Urban,Dairy Products,683.3333333
0021-001-002,2019-20,Mainland Other Urban,Fish (dried),3000
0021-001-002,2019-20,Mainland Other Urban,Leafy Greens,1312.5
0021-001-002,2019-20,Mainland Other Urban,Maize (flour),4800
0021-001-002,2019-20,Mainland Other Urban,Maize (grain),500
0021-001-002,2019-20,Mainland Other Urban,Other Fruits,666.6666667
0021-001-002,2019-20,Mainland Other Urban,Plantains,2916.666667
0021-001-002,2019-20,Mainland Other Urban,Pulses,1000
0021-001-002,2019-20,Mainland Other Urban,Rice (husked),3600
0021-001-002,2019-20,Mainland Other Urban,Ripe Bananas,533.3333333
0021-001-002,2019-20,Mainland Other Urban,Salt,200
0021-001-002,2019-20,Mainland Other Urban,Sugar,3750
0021-001-002,2019-20,Mainland Other Urban,Tea (dry),68.57142857
0021-001-002,2019-20,Mainland Other Urban,Vegetables (fresh),3863.636364
0024-001-001,2019-20,Mainland Other Urban,Beef,6000
0024-001-001,2019-20,Mainland Other Urban,Bottled Beer,1400
0024-001-001,2019-20,Mainland Other Urban,"Buns, Cakes And Biscuits",2000
0024-001-001,2019-20,Mainland Other Urban,Citrus Fruits,583.3333333
0024-001-001,2019-20,Mainland Other Urban,Coconuts,2357.142857
0024-001-001,2019-20,Mainland Other Urban,Cooking Oil,5250
0024-001-001,2019-20,Mainland Other Urban,Dairy Products,1366.666667
0024-001-001,2019-20,Mainland Other Urban,Eggs,1583.333333
0024-001-001,2019-20,Mainland Other Urban,Fish (fresh),1000
0024-001-001,2019-20,Mainland Other Urban,Goat Meat,7000
0024-001-001,2019-20,Mainland Other Urban,Irish Potatoes,12000
0024-001-001,2019-20,Mainland Other Urban,Leafy Greens,3062.5
0024-001-001,2019-20,Mainland Other Urban,Maize (flour),1200
0024-001-001,2019-20,Mainland Other Urban,"Maize (green, cob)",4133.333333
0024-001-001,2019-20,Mainland Other Urban,Other Fruits,1800
0024-001-001,2019-20,Mainland Other Urban,Plantains,5416.666667
0024-001-001,2019-20,Mainland Other Urban,Pork,26666.66667
0024-001-001,2019-20,Mainland Other Urban,Pulses,2500
0024-001-001,2019-20,Mainland Other Urban,Rice (husked),6750
0024-001-001,2019-20,Mainland Other Urban,Ripe Bananas,4800
0024-001-001,2019-20,Mainland Other Urban,Salt,250
0024-001-001,2019-20,Mainland Other Urban,Soft drinks,5000
0024-001-001,2019-20,Mainland Other Urban,Sugar,2500
0024-001-001,2019-20,Mainland Other Urban,Tea (dry),571.4285714
0024-001-001,2019-20,Mainland Other Urban,Vegetables (fresh),5640.909091
0024-001-001,2019-20,Mainland Other Urban,Wheat Flour,1050
0024-001-001,2019-20,Mainland Other Urban,Wine & Spirits,11000
0028-001-001,2019-20,Mainland Other Urban,Beef,3000
0028-001-001,2019-20,Mainland Other Urban,"Buns, Cakes And Biscuits",750
0028-001-001,2019-20,Mainland Other Urban,Cooking Oil,1225
0028-001-001,2019-20,Mainland Other Urban,Leafy Greens,1531.25
0028-001-001,2019-20,Mainland Other Urban,Maize (flour),1800
0028-001-001,2019-20,Mainland Other Urban,Maize (grain),1000
0028-001-001,2019-20,Mainland Other Urban,Materials For Drinks,276.7857143
0028-001-001,2019-20,Mainland Other Urban,Milk (fresh),2216.666667
0028-001-001,2019-20,Mainland Other Urban,Plantains,1500
0028-001-001,2019-20,Mainland Other Urban,Pulses,1000
0028-001-001,2019-20,Mainland Other Urban,Rice (husked),5400
0028-001-001,2019-20,Mainland Other Urban,Ripe Bananas,3733.333333
0028-001-001,2019-20,Mainland Other Urban,Salt,200
0028-001-001,2019-20,Mainland Other Urban,Sugar,1250
0028-001-001,2019-20,Mainland Other Urban,Vegetables (fresh),3245.454545
0029-001-001,2019-20,Mainland Other Urban,Beef,18000
0029-001-001,2019-20,Mainland Other Urban,Bread,1000
0029-001-001,2019-20,Mainland Other Urban,"Buns, Cakes And Biscuits",625
0029-001-001,2019-20,Mainland Other Urban,Cooking Oil,5250
0029-001-001,2019-20,Mainland Other Urban,Dairy Products,4100
0029-001-001,2019-20,Mainland Other Urban,Leafy Greens,218.75
0029-001-001,2019-20,Mainland Other Urban,Maize (flour),8400
0029-001-001,2019-20,Mainland Other Urban,Millet & Sorghum (flour),3714.285714
0029-001-001,2019-20,Mainland Other Urban,Other Fruits,1000
0029-001-001,2019-20,Mainland Other Urban,Plantains,3333.333333
0029-001-001,2019-20,Mainland Other Urban,Salt,100
0029-001-001,2019-20,Mainland Other Urban,Soft drinks,1500
0029-001-001,2019-20,Mainland Other Urban,Sugar,2500
0029-001-001,2019-20,Mainland Other Urban,Sweet Potatoes,395.3125
0029-001-001,2019-20,Mainland Other Urban,Tea (dry),285.7142857
0029-001-001,2019-20,Mainland Other Urban,Vegetables (fresh),1390.909091
0030-001-001,2019-20,Mainland Other Urban,"Buns, Cakes And Biscuits",5250
0030-001-001,2019-20,Mainland Other Urban,Citrus Fruits,333.3333333
0030-001-001,2019-20,Mainland Other Urban,Cooking Oil,1750
0030-001-001,2019-20,Mainland Other Urban,Eggs,633.3333333
0030-001-001,2019-20,Mainland Other Urban,Fish (fresh),5200
0030-001-001,2019-20,Mainland Other Urban,Irish Potatoes,1200
0030-001-001,2019-20,Mainland Other Urban,Leafy Greens,656.25
0030-001-001,2019-20,Mainland Other Urban,Maize (flour),4800
0030-001-001,2019-20,Mainland Other Urban,Maize (grain),750
0030-001-001,2019-20,Mainland Other Urban,Milk (fresh),3800
0030-001-001,2019-20,Mainland Other Urban,Other Fruits,400
0030-001-001,2019-20,Mainland Other Urban,Plantains,1250
0030-001-001,2019-20,Mainland Other Urban,Pulses,2000
0030-001-001,2019-20,Mainland Other Urban,Rice (husked),5400
0030-001-001,2019-20,Mainland Other Urban,Ripe Bananas,266.6666667
0030-001-001,2019-20,Mainland Other Urban,Salt,200
0030-001-001,2019-20,Mainland Other Urban,Soft drinks,1500
0030-001-001,2019-20,Mainland Other Urban,Sugar,2500
0030-001-001,2019-20,Mainland Other Urban,Tea (dry),571.4285714
0030-001-001,2019-20,Mainland Other Urban,Vegetables (fresh),2163.636364
0031-001-001,2019-20,Mainland Other Urban,Beef,12000
0031-001-001,2019-20,Mainland Other Urban,"Buns, Cakes And Biscuits",750
0031-001-001,2019-20,Mainland Other Urban,Cassava Fresh,769.2307692
0031-001-001,2019-20,Mainland Other Urban,Citrus Fruits,1000
0031-001-001,2019-20,Mainland Other Urban,Cooking Oil,2625
0031-001-001,2019-20,Mainland Other Urban,Dairy Products,4100
0031-001-001,2019-20,Mainland Other Urban,Fish (fresh),1400
0031-001-001,2019-20,Mainland Other Urban,Leafy Greens,1312.5
0031-001-001,2019-20,Mainland Other Urban,"Macaroni, Spaghetti",1177.777778
0031-001-001,2019-20,Mainland Other Urban,Maize (flour),9600
0031-001-001,2019-20,Mainland Other Urban,Maize (grain),2000
0031-001-001,2019-20,Mainland Other Urban,Milk (fresh),8866.666667
0031-001-001,2019-20,Mainland Other Urban,Plantains,5833.333333
0031-001-001,2019-20,Mainland Other Urban,Pulses,4000
0031-001-001,2019-20,Mainland Other Urban,Rice (husked),7200
0031-001-001,2019-20,Mainland Other Urban,Salt,250
0031-001-001,2019-20,Mainland Other Urban,Sugar,1875
0031-001-001,2019-20,Mainland Other Urban,Sweet Potatoes,1581.25
0031-001-001,2019-20,Mainland Other Urban,Tea (dry),4000
0031-001-001,2019-20,Mainland Other Urban,Vegetables (fresh),386.3636364
0031-001-001,2019-20,Mainland Other Urban,Wheat Flour,2100
0032-001-001,2019-20,Mainland Other Urban,Bread,10000
0032-001-001,2019-20,Mainland Other Urban,Citrus Fruits,1333.333333
0032-001-001,2019-20,Mainland Other Urban,Ripe Bananas,1600
0032-001-001,2019-20,Mainland Other Urban,Sugar,1250
0032-001-001,2019-20,Mainland Other Urban,Tea (dry),914.2857143
0033-001-001,2019-20,Mainland Other Urban,Irish Potatoes,2500
0033-001-001,2019-20,Mainland Other Urban,Maize (grain),500
0033-001-001,2019-20,Mainland Other Urban,Other Fruits,320
0033-001-001,2019-20,Mainland Other Urban,Pulses,1000
0033-001-001,2019-20,Mainland Other Urban,Salt,80
0034-001-001,2019-20,Dar Es Salaam,Beef,12000
0034-001-001,2019-20,Dar Es Salaam,Cassava Fresh,1173.513986
0034-001-001,2019-20,Dar Es Salaam,Chicken,25000
0034-001-001,2019-20,Dar Es Salaam,Citrus Fruits,3368.421053
0034-001-001,2019-20,Dar Es Salaam,Cooking Oil,3600
0034-001-001,2019-20,Dar Es Salaam,Fish (dried),3000
0034-001-001,2019-20,Dar Es Salaam,Fish (fresh),21000
0034-001-001,2019-20,Dar Es Salaam,Leafy Greens,1250
0034-001-001,2019-20,Dar Es Salaam,Maize (flour),12000
0034-001-001,2019-20,Dar Es Salaam,Other Fruits,10000
0034-001-001,2019-20,Dar Es Salaam,Plantains,6666.666667
0034-001-001,2019-20,Dar Es Salaam,Pulses,4800
0034-001-001,2019-20,Dar Es Salaam,Rice (husked),7966.666667
0034-001-001,2019-20,Dar Es Salaam,Ripe Bananas,1937.5
0034-001-001,2019-20,Dar Es Salaam,Salt,300
0034-001-001,2019-20,Dar Es Salaam,Soft drinks,3500
0034-001-001,2019-20,Dar Es Salaam,Sugar,4800
0034-001-001,2019-20,Dar Es Salaam,Tea (dry),400
0034-001-001,2019-20,Dar Es Salaam,Vegetables (fresh),5718.382353
0034-001-001,2019-20,Dar Es Salaam,Wheat Flour,2600
0036-001-001,2019-20,Mainland Other Urban,Sugar,625
0036-001-001,2019-20,Mainland Other Urban,Tea (dry),240
0038-001-001,2019-20,Mainland Other Urban,Beef,6000
0038-001-001,2019-20,Mainland Other Urban,"Buns, Cakes And Biscuits",3750
0038-001-001,2019-20,Mainland Other Urban,Cooking Oil,1750
0038-001-001,2019-20,Mainland Other Urban,Leafy Greens,1531.25
0038-001-001,2019-20,Mainland Other Urban,Maize (flour),6000
0038-001-001,2019-20,Mainland Other Urban,Pulses,2000
0038-001-001,2019-20,Mainland Other Urban,Rice (husked),3600
0038-001-001,2019-20,Mainland Other Urban,Salt,200
0038-001-001,2019-20,Mainland Other Urban,Sugar,2500
0038-001-001,2019-20,Mainland Other Urban,Tea (dry),285.7142857
0038-001-001,2019-20,Mainland Other Urban,Vegetables (fresh),463.6363636
0039-001-001,2019-20,Mainland Rural,Cooking Oil,1750
0039-001-001,2019-20,Mainland Rural,Leafy Greens,4783.333333
0039-001-001,2019-20,Mainland Rural,Maize (flour),12000
0039-001-001,2019-20,Mainland Rural,Maize (grain),2600
0039-001-001,2019-20,Mainland Rural,Salt,300
