i,t,m,j,Expenditure
1009-001-01,2020-21,Mainland Rural,Beef,6000
1009-001-01,2020-21,Mainland Rural,Bread,2500
1009-001-01,2020-21,Mainland Rural,Cooking Oil,5000
1009-001-01,2020-21,Mainland Rural,Dairy Products,7000
1009-001-01,2020-21,Mainland Rural,Eggs,1500
1009-001-01,2020-21,Mainland Rural,Fish (dried),1155.555556
1009-001-01,2020-21,Mainland Rural,"Honey, Syrups, etc.",560
1009-001-01,2020-21,Mainland Rural,"Macaroni, Spaghetti",1040
1009-001-01,2020-21,Mainland Rural,Maize (flour),1000
1009-001-01,2020-21,Mainland Rural,Maize (grain),700
1009-001-01,2020-21,Mainland Rural,Milk (fresh),7000
1009-001-01,2020-21,Mainland Rural,Pulses,4000
1009-001-01,2020-21,Mainland Rural,Rice (husked),1050
1009-001-01,2020-21,Mainland Rural,Ripe Bananas,1200
1009-001-01,2020-21,Mainland Rural,Salt,250
1009-001-01,2020-21,Mainland Rural,Soft drinks,2500
1009-001-01,2020-21,Mainland Rural,Sugar,2800
1009-001-01,2020-21,Mainland Rural,Tea (dry),500
1009-001-01,2020-21,Mainland Rural,Vegetables (fresh),3007.234727
1009-001-01,2020-21,Mainland Rural,Wheat Flour,1500
1025-001-02,2020-21,Mainland Other Urban,Bread,1050.175029
1025-001-02,2020-21,Mainland Other Urban,Cassava Fresh,596.1666667
1025-001-02,2020-21,Mainland Other Urban,Cooking Oil,1250
1025-001-02,2020-21,Mainland Other Urban,Dairy Products,2100
1025-001-02,2020-21,Mainland Other Urban,Fish (dried),1010
1025-001-02,2020-21,Mainland Other Urban,Groundnuts,714.2857143
1025-001-02,2020-21,Mainland Other Urban,Leafy Greens,575.9106134
1025-001-02,2020-21,Mainland Other Urban,Maize (flour),3000
1025-001-02,2020-21,Mainland Other Urban,Other Fruits,592.6251097
1025-001-02,2020-21,Mainland Other Urban,Plantains,2083.333333
1025-001-02,2020-21,Mainland Other Urban,Pulses,2000
1025-001-02,2020-21,Mainland Other Urban,Rice (husked),3000
1025-001-02,2020-21,Mainland Other Urban,Ripe Bananas,541.6666667
1025-001-02,2020-21,Mainland Other Urban,Salt,100
1025-001-02,2020-21,Mainland Other Urban,Sugar,1400
1025-001-02,2020-21,Mainland Other Urban,Sugarcane,100
1025-001-02,2020-21,Mainland Other Urban,Tea (dry),100
1025-001-02,2020-21,Mainland Other Urban,Vegetables (fresh),883.5784314
1025-001-02,2020-21,Mainland Other Urban,Wheat Flour,1400
1039-001-01,2020-21,Mainland Other Urban,Bread,16336.05601
1039-001-01,2020-21,Mainland Other Urban,Cooking Oil,2500
1039-001-01,2020-21,Mainland Other Urban,Fish (fresh),3000
1039-001-01,2020-21,Mainland Other Urban,Leafy Greens,221.5040821
1039-001-01,2020-21,Mainland Other Urban,"Macaroni, Spaghetti",3000
1039-001-01,2020-21,Mainland Other Urban,Maize (flour),4000
1039-001-01,2020-21,Mainland Other Urban,Pulses,4000
1039-001-01,2020-21,Mainland Other Urban,Rice (husked),7500
1039-001-01,2020-21,Mainland Other Urban,Salt,125
1039-001-01,2020-21,Mainland Other Urban,Sugar,4200
1039-001-01,2020-21,Mainland Other Urban,Tea (dry),400
1039-001-01,2020-21,Mainland Other Urban,Vegetables (fresh),1577.818627
1078-001-01,2020-21,Mainland Rural,Bread,2000
1078-001-01,2020-21,Mainland Rural,Citrus Fruits,3329.355815
1078-001-01,2020-21,Mainland Rural,Cooking Oil,5000
1078-001-01,2020-21,Mainland Rural,Fish (fresh),2500
1078-001-01,2020-21,Mainland Rural,Irish Potatoes,4000
1078-001-01,2020-21,Mainland Rural,Maize (flour),10000
1078-001-01,2020-21,Mainland Rural,Milk (fresh),7500
1078-001-01,2020-21,Mainland Rural,Other Fruits,1209.677419
1078-001-01,2020-21,Mainland Rural,Plantains,3874.538745
1078-001-01,2020-21,Mainland Rural,Pulses,2000
1078-001-01,2020-21,Mainland Rural,Rice (husked),2100
1078-001-01,2020-21,Mainland Rural,Ripe Bananas,1600
1078-001-01,2020-21,Mainland Rural,Salt,125
1078-001-01,2020-21,Mainland Rural,Sugar,2800
1078-001-01,2020-21,Mainland Rural,Tea (dry),500
1078-001-01,2020-21,Mainland Rural,Vegetables (fresh),601.4469453
1078-001-01,2020-21,Mainland Rural,Vegetables (preserved),1000
1078-001-01,2020-21,Mainland Rural,Wheat Flour,1500
1102-001-01,2020-21,Mainland Rural,Cooking Oil,2500
1102-001-01,2020-21,Mainland Rural,Leafy Greens,400.5340454
1102-001-01,2020-21,Mainland Rural,Maize (flour),2000
1102-001-01,2020-21,Mainland Rural,Maize (grain),2100
1102-001-01,2020-21,Mainland Rural,Milk (fresh),3000
1102-001-01,2020-21,Mainland Rural,Rice (husked),1400
1102-001-01,2020-21,Mainland Rural,Salt,250
1102-001-01,2020-21,Mainland Rural,Sugar,5600
1102-001-01,2020-21,Mainland Rural,Vegetables (fresh),360.8681672
1142-001-01,2020-21,Dar Es Salaam,Beef,7166.666667
1142-001-01,2020-21,Dar Es Salaam,"Buns, Cakes And Biscuits",900
1142-001-01,2020-21,Dar Es Salaam,Cassava Fresh,869.5652174
1142-001-01,2020-21,Dar Es Salaam,Chicken,8000
1142-001-01,2020-21,Dar Es Salaam,Citrus Fruits,1388.888889
1142-001-01,2020-21,Dar Es Salaam,Coconuts,1250
1142-001-01,2020-21,Dar Es Salaam,Cooking Oil,2250
1142-001-01,2020-21,Dar Es Salaam,Eggs,3000
1142-001-01,2020-21,Dar Es Salaam,Fish (dried),4000
1142-001-01,2020-21,Dar Es Salaam,Fish (fresh),1750
1142-001-01,2020-21,Dar Es Salaam,"Honey, Syrups, etc.",13480
1142-001-01,2020-21,Dar Es Salaam,Irish Potatoes,3000
