i,t,m,j,Expenditure
1142-001-01,2020-21,Dar Es Salaam,Leafy Greens,1166.666667
1142-001-01,2020-21,Dar Es Salaam,Maize (flour),2200
1142-001-01,2020-21,Dar Es Salaam,Other Spices,363.6363636
1142-001-01,2020-21,Dar Es Salaam,Pulses,1400
1142-001-01,2020-21,Dar Es Salaam,Rice (husked),6087.878788
1142-001-01,2020-21,Dar Es Salaam,Salt,200
1142-001-01,2020-21,Dar Es Salaam,Sugar,1400
1142-001-01,2020-21,Dar Es Salaam,Sugarcane,1166.666667
1142-001-01,2020-21,Dar Es Salaam,Tea (dry),200
1142-001-01,2020-21,Dar Es Salaam,Vegetables (fresh),2857.142857
1142-001-01,2020-21,Dar Es Salaam,Wheat Flour,975
1196-001-01,2020-21,Dar Es Salaam,Bread,4000
1196-001-01,2020-21,Dar Es Salaam,Chicken,16000
1196-001-01,2020-21,Dar Es Salaam,Coconuts,1500
1196-001-01,2020-21,Dar Es Salaam,Cooking Oil,4500
1196-001-01,2020-21,Dar Es Salaam,Fish (fresh),3500
1196-001-01,2020-21,Dar Es Salaam,Goat Meat,13750
1196-001-01,2020-21,Dar Es Salaam,Irish Potatoes,570
1196-001-01,2020-21,Dar Es Salaam,Leafy Greens,2450
1196-001-01,2020-21,Dar Es Salaam,Maize (flour),7700
1196-001-01,2020-21,Dar Es Salaam,Milk (fresh),4000
1196-001-01,2020-21,Dar Es Salaam,Millet & Sorghum (flour),4000
1196-001-01,2020-21,Dar Es Salaam,Other Fruits,2784.883721
1196-001-01,2020-21,Dar Es Salaam,Plantains,2584.615385
1196-001-01,2020-21,Dar Es Salaam,Pulses,5600
1196-001-01,2020-21,Dar Es Salaam,Rice (husked),15219.69697
1196-001-01,2020-21,Dar Es Salaam,Salt,200
1196-001-01,2020-21,Dar Es Salaam,Soft drinks,3000
1196-001-01,2020-21,Dar Es Salaam,Sugar,2800
1196-001-01,2020-21,Dar Es Salaam,Tea (dry),350
1196-001-01,2020-21,Dar Es Salaam,Vegetables (fresh),3571.428571
1213-001-01,2020-21,Dar Es Salaam,Beef,5375
1213-001-01,2020-21,Dar Es Salaam,Bread,2000
1213-001-01,2020-21,Dar Es Salaam,"Buns, Cakes And Biscuits",2000
1213-001-01,2020-21,Dar Es Salaam,Chicken,5376
1213-001-01,2020-21,Dar Es Salaam,Citrus Fruits,200
1213-001-01,2020-21,Dar Es Salaam,Coconuts,3893.75
1213-001-01,2020-21,Dar Es Salaam,Eggs,8100
1213-001-01,2020-21,Dar Es Salaam,Fish (fresh),7000
1213-001-01,2020-21,Dar Es Salaam,Irish Potatoes,2244
1213-001-01,2020-21,Dar Es Salaam,Leafy Greens,1565.666667
1213-001-01,2020-21,Dar Es Salaam,Maize (flour),1100
1213-001-01,2020-21,Dar Es Salaam,Rice (husked),13317.23485
1213-001-01,2020-21,Dar Es Salaam,Ripe Bananas,2400
1213-001-01,2020-21,Dar Es Salaam,Salt,175
1213-001-01,2020-21,Dar Es Salaam,Soft drinks,3928.571429
1213-001-01,2020-21,Dar Es Salaam,Sugar,2800
1213-001-01,2020-21,Dar Es Salaam,Sugarcane,1878.916667
1213-001-01,2020-21,Dar Es Salaam,Tea (dry),1666.666667
1213-001-01,2020-21,Dar Es Salaam,Vegetables (fresh),1922.857143
1213-001-01,2020-21,Dar Es Salaam,Wheat Flour,1300
1232-001-01,2020-21,Dar Es Salaam,Bread,2000
1232-001-01,2020-21,Dar Es Salaam,Citrus Fruits,277.7777778
1232-001-01,2020-21,Dar Es Salaam,Cooking Oil,1260
1232-001-01,2020-21,Dar Es Salaam,Leafy Greens,7000
1232-001-01,2020-21,Dar Es Salaam,Maize (flour),7700
1232-001-01,2020-21,Dar Es Salaam,Other Fruits,7735.788114
1232-001-01,2020-21,Dar Es Salaam,Pulses,19600
1232-001-01,2020-21,Dar Es Salaam,Rice (husked),15219.69697
1232-001-01,2020-21,Dar Es Salaam,Salt,250
1232-001-01,2020-21,Dar Es Salaam,Sugar,5600
1232-001-01,2020-21,Dar Es Salaam,Sweets,1000
1232-001-01,2020-21,Dar Es Salaam,Vegetables (fresh),4285.714286
1248-001-01,2020-21,Dar Es Salaam,Cooking Oil,2250
1248-001-01,2020-21,Dar Es Salaam,Dairy Products,2000
1248-001-01,2020-21,Dar Es Salaam,Fish (fresh),3500
1248-001-01,2020-21,Dar Es Salaam,Leafy Greens,900
1248-001-01,2020-21,Dar Es Salaam,"Macaroni, Spaghetti",1300
1248-001-01,2020-21,Dar Es Salaam,Maize (flour),2200
1248-001-01,2020-21,Dar Es Salaam,Plantains,2000
1248-001-01,2020-21,Dar Es Salaam,Pulses,1400
1248-001-01,2020-21,Dar Es Salaam,Rice (husked),3043.939394
1248-001-01,2020-21,Dar Es Salaam,Salt,100
1248-001-01,2020-21,Dar Es Salaam,Sugar,700
1248-001-01,2020-21,Dar Es Salaam,Vegetables (fresh),1800
1248-001-01,2020-21,Dar Es Salaam,Wheat Flour,1300
1269-001-01,2020-21,Dar Es Salaam,"Buns, Cakes And Biscuits",1925
1269-001-01,2020-21,Dar Es Salaam,Coconuts,1950
1269-001-01,2020-21,Dar Es Salaam,Cooking Oil,2250
1269-001-01,2020-21,Dar Es Salaam,Fish (fresh),3500
1269-001-01,2020-21,Dar Es Salaam,Leafy Greens,1470
1269-001-01,2020-21,Dar Es Salaam,Maize (flour),2200
1269-001-01,2020-21,Dar Es Salaam,Millet & Sorghum (flour),4000
1269-001-01,2020-21,Dar Es Salaam,Other Spices,727.2727273
1269-001-01,2020-21,Dar Es Salaam,Pulses,2100
1269-001-01,2020-21,Dar Es Salaam,Rice (husked),6848.863636
1269-001-01,2020-21,Dar Es Salaam,Ripe Bananas,1309.090909
1269-001-01,2020-21,Dar Es Salaam,Salt,150
1269-001-01,2020-21,Dar Es Salaam,Soft drinks,1714.285714
1269-001-01,2020-21,Dar Es Salaam,Sugar,1400
1269-001-01,2020-21,Dar Es Salaam,Tea (dry),350
1269-001-01,2020-21,Dar Es Salaam,Vegetables (fresh),2950
1325-001-01,2020-21,Dar Es Salaam,Beef,3583.333333
1325-001-01,2020-21,Dar Es Salaam,Cooking Oil,1125
1325-001-01,2020-21,Dar Es Salaam,Eggs,600
1325-001-01,2020-21,Dar Es Salaam,Fish (fresh),5250
1325-001-01,2020-21,Dar Es Salaam,Leafy Greens,2041.666667
1325-001-01,2020-21,Dar Es Salaam,Maize (flour),3850
1325-001-01,2020-21,Dar Es Salaam,Milk (fresh),1000
1325-001-01,2020-21,Dar Es Salaam,Plantains,1400
1325-001-01,2020-21,Dar Es Salaam,Pulses,700
1325-001-01,2020-21,Dar Es Salaam,Rice (husked),5326.893939
1325-001-01,2020-21,Dar Es Salaam,Ripe Bananas,606.0606061
1325-001-01,2020-21,Dar Es Salaam,Salt,150
1325-001-01,2020-21,Dar Es Salaam,Sugar,2800
1325-001-01,2020-21,Dar Es Salaam,Sugarcane,875
1325-001-01,2020-21,Dar Es Salaam,Tea (dry),350
1325-001-01,2020-21,Dar Es Salaam,Vegetables (fresh),3571.428571
1348-001-01,2020-21,Dar Es Salaam,Beef,43000
1348-001-01,2020-21,Dar Es Salaam,Bread,3000
1348-001-01,2020-21,Dar Es Salaam,Cassava Fresh,2608.695652
1348-001-01,2020-21,Dar Es Salaam,Chicken,36000
1348-001-01,2020-21,Dar Es Salaam,Coconuts,4035
1348-001-01,2020-21,Dar Es Salaam,Coffee & Cocoa,1952.166667
1348-001-01,2020-21,Dar Es Salaam,Cooking Oil,9000
1348-001-01,2020-21,Dar Es Salaam,Dairy Products,14000
1348-001-01,2020-21,Dar Es Salaam,Eggs,6000
1348-001-01,2020-21,Dar Es Salaam,Fish (fresh),21000
1348-001-01,2020-21,Dar Es Salaam,Goat Meat,55000
1348-001-01,2020-21,Dar Es Salaam,Groundnuts,2700
1348-001-01,2020-21,Dar Es Salaam,"Honey, Syrups, etc.",1685
1348-001-01,2020-21,Dar Es Salaam,Irish Potatoes,3000
1348-001-01,2020-21,Dar Es Salaam,Leafy Greens,1312.5
1348-001-01,2020-21,Dar Es Salaam,Maize (flour),3850
1348-001-01,2020-21,Dar Es Salaam,Milk (fresh),28000
1348-001-01,2020-21,Dar Es Salaam,Nuts,20000
1348-001-01,2020-21,Dar Es Salaam,Other Fruits,18565.89147
1348-001-01,2020-21,Dar Es Salaam,Plantains,3230.769231
1348-001-01,2020-21,Dar Es Salaam,Pork,32500
1348-001-01,2020-21,Dar Es Salaam,Pulses,4200
1348-001-01,2020-21,Dar Es Salaam,Rice (husked),16741.66667
1348-001-01,2020-21,Dar Es Salaam,Ripe Bananas,5180.606061
1348-001-01,2020-21,Dar Es Salaam,Salt,250
1348-001-01,2020-21,Dar Es Salaam,Soft drinks,11000
1348-001-01,2020-21,Dar Es Salaam,Sugar,4200
1348-001-01,2020-21,Dar Es Salaam,Sweets,3500
1348-001-01,2020-21,Dar Es Salaam,Tea (dry),1666.666667
1348-001-01,2020-21,Dar Es Salaam,Vegetables (fresh),2857.142857
1348-001-01,2020-21,Dar Es Salaam,Wheat Flour,3770
1406-001-01,2020-21,Dar Es Salaam,Bottled Beer,1500
1406-001-01,2020-21,Dar Es Salaam,Cassava Fresh,600
1406-001-01,2020-21,Dar Es Salaam,Citrus Fruits,500
1406-001-01,2020-21,Dar Es Salaam,Irish Potatoes,400
1406-001-01,2020-21,Dar Es Salaam,Leafy Greens,1500
1406-001-01,2020-21,Dar Es Salaam,Maize (flour),3300
1406-001-01,2020-21,Dar Es Salaam,Other Fruits,1500
1406-001-01,2020-21,Dar Es Salaam,Plantains,6666.666667
1406-001-01,2020-21,Dar Es Salaam,Pulses,5600
1406-001-01,2020-21,Dar Es Salaam,Rice (husked),4565.909091
1406-001-01,2020-21,Dar Es Salaam,Salt,40
1406-001-01,2020-21,Dar Es Salaam,Soft drinks,1500
1406-001-01,2020-21,Dar Es Salaam,Tea (dry),300
1406-001-01,2020-21,Dar Es Salaam,Vegetables (fresh),2000
1419-001-01,2020-21,Dar Es Salaam,Beef,8958.333333
1419-001-01,2020-21,Dar Es Salaam,Bread,1000
1419-001-01,2020-21,Dar Es Salaam,Coconuts,3750
1419-001-01,2020-21,Dar Es Salaam,Cooking Oil,1575
1419-001-01,2020-21,Dar Es Salaam,Eggs,900
1419-001-01,2020-21,Dar Es Salaam,Groundnuts,900
1419-001-01,2020-21,Dar Es Salaam,Irish Potatoes,520
1419-001-01,2020-21,Dar Es Salaam,Leafy Greens,816.6666667
1419-001-01,2020-21,Dar Es Salaam,Maize (flour),2200
1419-001-01,2020-21,Dar Es Salaam,Milk (fresh),3000
1419-001-01,2020-21,Dar Es Salaam,Other Fruits,6188.630491
1419-001-01,2020-21,Dar Es Salaam,Pulses,2800
1419-001-01,2020-21,Dar Es Salaam,Rice (husked),6087.878788
1419-001-01,2020-21,Dar Es Salaam,Salt,150
1419-001-01,2020-21,Dar Es Salaam,Sugar,2800
1419-001-01,2020-21,Dar Es Salaam,Vegetables (fresh),15714.28571
1419-001-01,2020-21,Dar Es Salaam,Wheat Flour,1300
1438-001-01,2020-21,Dar Es Salaam,"Buns, Cakes And Biscuits",5600
1438-001-01,2020-21,Dar Es Salaam,Cassava Fresh,8400
1438-001-01,2020-21,Dar Es Salaam,Coconuts,5355
1438-001-01,2020-21,Dar Es Salaam,Fish (fresh),3500
1438-001-01,2020-21,Dar Es Salaam,Leafy Greens,900
1438-001-01,2020-21,Dar Es Salaam,Maize (flour),7700
1438-001-01,2020-21,Dar Es Salaam,Other Fruits,1500
1438-001-01,2020-21,Dar Es Salaam,Pulses,700
1438-001-01,2020-21,Dar Es Salaam,Rice (husked),760.9848485
1438-001-01,2020-21,Dar Es Salaam,Ripe Bananas,2000
1438-001-01,2020-21,Dar Es Salaam,Salt,200
1438-001-01,2020-21,Dar Es Salaam,Sugar,1400
1438-001-01,2020-21,Dar Es Salaam,Vegetables (fresh),2100
1497-001-01,2020-21,Dar Es Salaam,Beef,10750
1497-001-01,2020-21,Dar Es Salaam,Coconuts,2500
1497-001-01,2020-21,Dar Es Salaam,Cooking Oil,4500
1497-001-01,2020-21,Dar Es Salaam,Fish (fresh),3750
1497-001-01,2020-21,Dar Es Salaam,Irish Potatoes,1500
1497-001-01,2020-21,Dar Es Salaam,Leafy Greens,2333.333333
1497-001-01,2020-21,Dar Es Salaam,Maize (flour),7700
1497-001-01,2020-21,Dar Es Salaam,Maize (grain),600
1497-001-01,2020-21,Dar Es Salaam,Plantains,2153.846154
1497-001-01,2020-21,Dar Es Salaam,Pulses,5600
1497-001-01,2020-21,Dar Es Salaam,Rice (husked),10653.78788
1497-001-01,2020-21,Dar Es Salaam,Ripe Bananas,2000
1497-001-01,2020-21,Dar Es Salaam,Salt,300
1497-001-01,2020-21,Dar Es Salaam,Soft drinks,2857.142857
1497-001-01,2020-21,Dar Es Salaam,Sugar,4200
1497-001-01,2020-21,Dar Es Salaam,Tea (dry),350
1497-001-01,2020-21,Dar Es Salaam,Vegetables (fresh),2857.142857
1514-001-01,2020-21,Dar Es Salaam,"Buns, Cakes And Biscuits",500
1514-001-01,2020-21,Dar Es Salaam,Cassava Fresh,600
1514-001-01,2020-21,Dar Es Salaam,Citrus Fruits,50
1514-001-01,2020-21,Dar Es Salaam,Coconuts,1950
1514-001-01,2020-21,Dar Es Salaam,Cooking Oil,1125
1514-001-01,2020-21,Dar Es Salaam,Leafy Greens,518
1514-001-01,2020-21,Dar Es Salaam,Maize (flour),6600
1514-001-01,2020-21,Dar Es Salaam,Other Fruits,500
1514-001-01,2020-21,Dar Es Salaam,Pulses,1400
1514-001-01,2020-21,Dar Es Salaam,Rice (husked),1902.462121
1514-001-01,2020-21,Dar Es Salaam,Ripe Bananas,480
1514-001-01,2020-21,Dar Es Salaam,Salt,125
1514-001-01,2020-21,Dar Es Salaam,Sugar,700
1514-001-01,2020-21,Dar Es Salaam,Sweets,150
1514-001-01,2020-21,Dar Es Salaam,Tea (dry),200
1514-001-01,2020-21,Dar Es Salaam,Vegetables (fresh),1342.857143
1538-001-01,2020-21,Dar Es Salaam,Beef,7166.666667
1538-001-01,2020-21,Dar Es Salaam,Bread,1000
1538-001-01,2020-21,Dar Es Salaam,Coconuts,1255
1538-001-01,2020-21,Dar Es Salaam,Dairy Products,1000
1538-001-01,2020-21,Dar Es Salaam,Eggs,1500
1538-001-01,2020-21,Dar Es Salaam,Irish Potatoes,2000
1538-001-01,2020-21,Dar Es Salaam,Leafy Greens,2450
1538-001-01,2020-21,Dar Es Salaam,Maize (flour),2200
1538-001-01,2020-21,Dar Es Salaam,Milk (fresh),2000
1538-001-01,2020-21,Dar Es Salaam,Millet & Sorghum (grain),2100
1538-001-01,2020-21,Dar Es Salaam,Other Fruits,1995.833333
1538-001-01,2020-21,Dar Es Salaam,Plantains,1076.923077
1538-001-01,2020-21,Dar Es Salaam,Pulses,5600
1538-001-01,2020-21,Dar Es Salaam,Rice (husked),4565.909091
1538-001-01,2020-21,Dar Es Salaam,Salt,150
1538-001-01,2020-21,Dar Es Salaam,Soft drinks,1000
1538-001-01,2020-21,Dar Es Salaam,Sugar,1400
1538-001-01,2020-21,Dar Es Salaam,Sweets,1000
1538-001-01,2020-21,Dar Es Salaam,Tea (dry),333.3333333
1538-001-01,2020-21,Dar Es Salaam,Vegetables (fresh),2772.857143
1538-001-01,2020-21,Dar Es Salaam,Wheat Flour,1300
1553-001-03,2020-21,Dar Es Salaam,Beef,3583.333333
1553-001-03,2020-21,Dar Es Salaam,Bread,2000
1553-001-03,2020-21,Dar Es Salaam,"Buns, Cakes And Biscuits",4500
1553-001-03,2020-21,Dar Es Salaam,Cassava Fresh,6000
1553-001-03,2020-21,Dar Es Salaam,Citrus Fruits,500
1553-001-03,2020-21,Dar Es Salaam,Coconuts,9100
1553-001-03,2020-21,Dar Es Salaam,Cooking Oil,1125
1553-001-03,2020-21,Dar Es Salaam,Fish (fresh),13500
1553-001-03,2020-21,Dar Es Salaam,Leafy Greens,2400
1553-001-03,2020-21,Dar Es Salaam,Maize (flour),7700
1553-001-03,2020-21,Dar Es Salaam,Plantains,1666.666667
1553-001-03,2020-21,Dar Es Salaam,Pulses,5600
1553-001-03,2020-21,Dar Es Salaam,Rice (husked),15980.68182
1553-001-03,2020-21,Dar Es Salaam,Salt,150
1553-001-03,2020-21,Dar Es Salaam,Sugar,4900
1553-001-03,2020-21,Dar Es Salaam,Tea (dry),250
1553-001-03,2020-21,Dar Es Salaam,Vegetables (fresh),2285.714286
1573-001-02,2020-21,Dar Es Salaam,Citrus Fruits,500
1573-001-02,2020-21,Dar Es Salaam,Other Fruits,2500
1573-001-02,2020-21,Dar Es Salaam,Ripe Bananas,12121.21212
1589-001-01,2020-21,Dar Es Salaam,Cassava Fresh,1200
1589-001-01,2020-21,Dar Es Salaam,Cooking Oil,1125
1589-001-01,2020-21,Dar Es Salaam,Irish Potatoes,1000
1589-001-01,2020-21,Dar Es Salaam,Leafy Greens,1225
1589-001-01,2020-21,Dar Es Salaam,Maize (flour),1100
1589-001-01,2020-21,Dar Es Salaam,Pulses,2100
1589-001-01,2020-21,Dar Es Salaam,Rice (husked),3043.939394
1589-001-01,2020-21,Dar Es Salaam,Salt,100
1589-001-01,2020-21,Dar Es Salaam,Sugar,700
1589-001-01,2020-21,Dar Es Salaam,Tea (dry),200
1589-001-01,2020-21,Dar Es Salaam,Vegetables (fresh),1497.142857
1654-001-01,2020-21,Dar Es Salaam,"Buns, Cakes And Biscuits",4000
1654-001-01,2020-21,Dar Es Salaam,Cassava Fresh,2782.608696
1654-001-01,2020-21,Dar Es Salaam,Coconuts,437.5
1654-001-01,2020-21,Dar Es Salaam,Cooking Oil,1125
1654-001-01,2020-21,Dar Es Salaam,Fish (dried),500
1654-001-01,2020-21,Dar Es Salaam,Leafy Greens,630
1654-001-01,2020-21,Dar Es Salaam,Maize (flour),5500
1654-001-01,2020-21,Dar Es Salaam,Pulses,2100
1654-001-01,2020-21,Dar Es Salaam,Salt,200
1654-001-01,2020-21,Dar Es Salaam,Sugar,1400
1654-001-01,2020-21,Dar Es Salaam,Tea (dry),1666.666667
1654-001-01,2020-21,Dar Es Salaam,Vegetables (fresh),657.1428571
1671-001-01,2020-21,Dar Es Salaam,Beef,7166.666667
1671-001-01,2020-21,Dar Es Salaam,"Buns, Cakes And Biscuits",6400
1671-001-01,2020-21,Dar Es Salaam,Coconuts,1300
1671-001-01,2020-21,Dar Es Salaam,Cooking Oil,2250
1671-001-01,2020-21,Dar Es Salaam,Fish (fresh),1750
1671-001-01,2020-21,Dar Es Salaam,Maize (flour),5775
1671-001-01,2020-21,Dar Es Salaam,Pulses,2800
1671-001-01,2020-21,Dar Es Salaam,Rice (husked),4565.909091
1671-001-01,2020-21,Dar Es Salaam,Ripe Bananas,2400
1671-001-01,2020-21,Dar Es Salaam,Salt,166
1671-001-01,2020-21,Dar Es Salaam,Sugar,1400
1671-001-01,2020-21,Dar Es Salaam,Tea (dry),600
1671-001-01,2020-21,Dar Es Salaam,Vegetables (fresh),3214.285714
1691-001-01,2020-21,Dar Es Salaam,Bread,1000
1691-001-01,2020-21,Dar Es Salaam,Cassava Fresh,600
1691-001-01,2020-21,Dar Es Salaam,Chicken,4000
1691-001-01,2020-21,Dar Es Salaam,Leafy Greens,130.6666667
1691-001-01,2020-21,Dar Es Salaam,Maize (flour),3300
1691-001-01,2020-21,Dar Es Salaam,Rice (husked),4565.909091
1691-001-01,2020-21,Dar Es Salaam,Salt,250
1691-001-01,2020-21,Dar Es Salaam,Soft drinks,2291.666667
1691-001-01,2020-21,Dar Es Salaam,Tea (dry),1166.666667
1691-001-01,2020-21,Dar Es Salaam,Vegetables (fresh),4642.857143
1703-001-01,2020-21,Dar Es Salaam,Beef,7166.666667
1703-001-01,2020-21,Dar Es Salaam,"Buns, Cakes And Biscuits",25000
1703-001-01,2020-21,Dar Es Salaam,Cassava Fresh,773.9130435
1703-001-01,2020-21,Dar Es Salaam,Citrus Fruits,291.6666667
1703-001-01,2020-21,Dar Es Salaam,Coconuts,6500
1703-001-01,2020-21,Dar Es Salaam,Cooking Oil,4500
1703-001-01,2020-21,Dar Es Salaam,Eggs,1500
1703-001-01,2020-21,Dar Es Salaam,Fish (fresh),7000
1703-001-01,2020-21,Dar Es Salaam,Irish Potatoes,800
1703-001-01,2020-21,Dar Es Salaam,Maize (flour),4400
1703-001-01,2020-21,Dar Es Salaam,Milk (fresh),2000
1703-001-01,2020-21,Dar Es Salaam,Millet & Sorghum (flour),2000
1703-001-01,2020-21,Dar Es Salaam,Other Fruits,2784.883721
1703-001-01,2020-21,Dar Es Salaam,Other Spices,763.6363636
1703-001-01,2020-21,Dar Es Salaam,Plantains,2476.923077
1703-001-01,2020-21,Dar Es Salaam,Pulses,2800
1703-001-01,2020-21,Dar Es Salaam,Rice (husked),10653.78788
1703-001-01,2020-21,Dar Es Salaam,Ripe Bananas,1818.181818
1703-001-01,2020-21,Dar Es Salaam,Salt,150
1703-001-01,2020-21,Dar Es Salaam,Sugar,2800
1703-001-01,2020-21,Dar Es Salaam,Sweets,120
1703-001-01,2020-21,Dar Es Salaam,Vegetables (fresh),1471.428571
1733-001-01,2020-21,Dar Es Salaam,"Buns, Cakes And Biscuits",1125
1733-001-01,2020-21,Dar Es Salaam,Cassava Fresh,1000
1733-001-01,2020-21,Dar Es Salaam,Citrus Fruits,194.4444444
1733-001-01,2020-21,Dar Es Salaam,Coconuts,1612.5
1733-001-01,2020-21,Dar Es Salaam,Cooking Oil,2250
1733-001-01,2020-21,Dar Es Salaam,Fish (dried),1500
1733-001-01,2020-21,Dar Es Salaam,Fish (fresh),7000
1733-001-01,2020-21,Dar Es Salaam,Leafy Greens,816.6666667
1733-001-01,2020-21,Dar Es Salaam,Maize (flour),4400
1733-001-01,2020-21,Dar Es Salaam,Other Fruits,2088.662791
1733-001-01,2020-21,Dar Es Salaam,Other Spices,1527.272727
1733-001-01,2020-21,Dar Es Salaam,Pulses,2800
1733-001-01,2020-21,Dar Es Salaam,Rice (husked),4565.909091
